,MODEL_TYPE,MAE,MSE,RMSE,R²
0,RF,0.0257034324122273,0.000917483782692,0.0302899947621657,0.7880769933546953
0,LSTM,0.01566399019758286,0.0003328720838208282,0.018244782372525803,0.9231122618596986
