Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.67807323,26.37786035,18.87195973,17.23414684,16.33750665,15.76293478,24.03218238,17.48881147,13.56029518,14.04640515,23.22741523,23.67073979,20.98494686,26.24697886,35.03955778,45.87912627,41.40497217,38.64772394,37.10345461,35.71663777,35.24730309,33.19198711,32.14494151,28.34624076,23.41697103,23.34063454,62.53980495,83.03120417,87.43729874,71.10391001,61.82997758,56.25407424,52.04221126,43.52398417,35.85404878,32.33356606,30.22692131,26.46083467,24.42915916,23.09771818,22.9547102,24.88441918,24.68167276,27.45999096,28.34653136,29.39883116,29.77540705,30.18192082,39.34805621,40.71036414
"Korea, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,16.75463542,no data,13.58687451,13.2702109,12.94389878,9.143811551,6.515972868,6.09736094,4.409202831,3.708050124,2.73541594,no data,10.69349567,14.67947704,18.56600511,18.15423165,18.93967109,21.82003206,20.71448787,20.40338347,18.70179372,16.00882283,18.87865858,19.16563385,20.94235755,19.73315359,17.33618098,16.6303219,14.93201516,15.70495038,13.0262782,12.7223196,12.23855845,11.41577632,11.16020101,10.42139873,9.243626867,8.152613557,7.502807879,9.308806724,13.29770144,15.16850874,15.49052897,15.99668921,16.13270513,18.96424869,21.58647254,24.94130751,27.16781946,26.5312067,25.80971371,28.71370404,28.2622739,29.00059124,29.5185518,30.91644883,32.18316379,33.56412261,34.00200692,34.17773139,34.33792937,36.32115823,42.21100328,45.33084129
Malaysia,3.942937325,3.072916667,3.866141732,5.702133795,7.814396415,12.17948718,12.18379447,14.94342567,no data,no data,19.50516413,24.92092374,22.77595219,23.51669528,24.21796471,27.43641948,28.02154592,29.79940806,32.00735633,35.37224114,35.6890145,39.8766491,42.36832755,38.0442311,33.89890896,39.86719804,41.93871935,43.19167659,42.6211657,41.05379315,40.24360774,49.45114692,61.23442302,67.99681397,66.6411575,75.4704008,94.60928302,94.74171036,89.82031034,79.66984129,74.12946366,67.31966188,59.10902311,51.1338733,43.72281358,37.70888275,32.45219795,29.29810957,33.42766378,34.22697911,32.36369304,37.94826024,39.52461503,41.38760774,41.95684493,40.16179301,38.7497694,38.2720593,37.99690727,48.53322669,48.86573509,49.32811671,50.92303905,52.25685785,51.93806955,53.57448467,51.89059567,50.04967161,51.18588126,52.42137105,62.02820874,63.40311588
Thailand,6.550694378,6.892030257,8.155958528,12.83060701,16.5199872,13.29703568,12.74031575,12.57231967,14.98588233,15.24686198,14.2608162,12.87816794,13.41135775,12.58435016,13.32921924,14.81861024,14.39860575,15.03156392,15.53392638,17.69690186,18.53465612,21.54657101,26.77076391,21.16879673,16.32289967,15.76189902,21.98228077,22.39065215,22.76775288,23.6930114,22.14754516,24.36981364,27.10514684,28.92041647,30.64890877,36.76120522,40.14373492,38.77244441,30.33256985,23.72061853,17.79637167,12.96795692,10.49087662,8.186243537,5.693219737,4.610094712,3.673497457,4.641520409,10.66985739,20.00577892,21.96458651,24.57833404,30.07035627,27.04601837,24.3963998,24.39220105,23.26111724,22.60400145,21.99186035,26.79589689,27.77926194,27.31535364,28.45789855,29.63239281,29.89091747,32.0900985,30.55733202,32.45882556,33.90484472,33.98857031,45.11726346,52.76123691
