Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.339687987,6.484063685,6.770653619,7.466670228,6.471049742,6.237942633,7.735449561,9.736386041,10.40529282,12.04255279,11.3668477,10.84731044,9.356968967,10.43991028,11.60114651,12.64374967,12.30782488,12.18897852,12.32493296,11.30558673,11.83152417,12.27573775,13.22333597,15.3900977,17.87777232,19.7627824,20.37924678,20.49839776,20.23156351,20.84755782,20.03064106,18.6656443,18.71002972,18.21166941,18.81849029,20.853542,21.39918836,22.04256816,22.77744507,22.99084159,25.45550498,30.90927162,33.69227128,35.30642158,36.44950382,44.39572266,46.17163476,48.36832181,51.24621382,53.81388625,60.93632764,59.67027647,87.46337413,90.71028783
Bahrain,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.274869212,0.306921179,0.537860235,1.019964775,2.24331661,2.247908284,7.159331273,6.662876677,6.927845245,7.164168261,7.254455537,6.299404155,11.04547739,11.86845275,15.12639552,15.58970663,7.54471351,6.994220821,6.724586655,6.198520233,5.860611765,14.19865875,13.67452903,15.38276419,20.84498727,25.71676827,25.74455638,26.07581343,28.3785794,32.4515603,29.39631309,24.19348141,20.25152574,16.34489591,12.56276698,21.36254306,30.0105604,32.80160554,36.20810535,43.93778428,44.39834408,66.17629047,81.32570429,88.12918303,94.60696491,101.6361214,129.7344429,128.5035834
Bangladesh,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.803738995,13.60613687,11.21806885,17.64294582,22.83020845,21.88814598,19.16327685,16.30107654,18.35236901,21.69449756,23.81886427,21.94693834,24.2310023,27.95247346,30.48093419,29.98048973,29.03802576,31.48326987,31.75925149,33.13718877,34.0538494,35.48738359,32.88556406,31.03188191,29.06387401,31.11880496,32.66724561,31.19541407,37.07130225,38.90046024,37.04365091,36.5848308,35.55806222,35.3318359,34.98867407,33.86993323,33.009655,29.62265978,30.57269696,30.23643216,29.90203351,29.4457404,28.11656144,27.82443175,28.57166582,29.59652981,31.6591194,34.1773033,35.547352
Barbados,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,23.77535403,22.78604623,25.99966733,30.97720572,27.60134113,21.55754674,24.2299483,29.08494701,28.51815364,26.21822756,24.94146938,26.9555226,28.08672289,28.96128516,28.81040326,31.64390777,34.78611034,36.95567561,38.39623988,36.37227388,41.70364462,43.03417073,45.78719557,46.91043237,56.64955355,58.87586999,59.37364262,60.40531525,54.52713736,54.18143587,61.27677213,67.77025883,71.55587805,72.15553088,72.44911159,75.21512934,77.8189472,77.89938434,81.99216493,100.3723717,108.9204888,112.3496714,124.1223247,135.299322,139.3898654,147.9178908,150.5996484,159.1263362,127.2811285,119.6086633,142.0431368,141.8787756
Belarus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,31.52708293,50.83994114,10.34807609,10.10526045,15.65739008,12.28604295,10.26155884,10.92543464,10.52402849,10.06742955,8.616199015,7.981498098,8.48974398,11.10277725,12.4965127,21.42899094,22.4851325,46.91179196,30.315991,30.83601153,32.93696034,46.91417232,47.14787518,47.2145871,42.51382075,37.60482765,44.11934614,38.76846009
Belgium,64.99209749,65.5464826,69.45596217,62.65846427,63.31810092,65.51456748,62.89982453,59.85710509,60.8010285,65.36232164,66.43131395,64.92774029,63.17292883,61.77798582,59.76485112,56.48432935,53.36491048,52.06345405,52.62565855,52.02564884,48.29972101,44.7903939,45.09008255,43.06960625,40.78174207,39.42655215,40.23530033,41.03248593,43.95392376,47.33002591,52.43236913,62.07175818,72.55480804,82.42937543,87.84294895,95.03238052,100.0712514,104.1748079,105.6296326,103.7811417,104.2362848,106.7902228,108.9686612,115.4952456,112.6986987,116.6098094,114.050232,111.3691926,106.8668753,103.8744398,98.93242737,98.15612764,95.29706684,89.33360834,85.08860589,83.85547531,80.86612066,77.20382167,82.73848446,86.49418569,85.76664647,88.46736956,88.96976759,89.6113317,90.03558277,88.82606755,89.15005173,86.98393439,84.95754101,82.92384577,94.18608725,90.70653194
Belize,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.5697525,13.06665737,21.82350571,22.92117211,26.36724108,31.78533915,37.73105811,45.5708741,43.94087958,53.19803494,48.23450075,43.43552159,36.34922566,33.60528027,30.79858531,31.93145384,32.17230977,31.784301,32.3758448,36.71939053,39.41061854,40.71214915,40.33354988,43.68250317,78.999652,51.41847354,55.19284385,69.36449279,72.95080347,75.15873679,73.50632571,68.9183778,66.08654497,70.75339411,68.9844193,66.84377966,63.67067479,62.72906233,61.53566304,64.8723001,70.81984867,78.20728181,79.51791699,79.01386237,104.4911464,82.20999512
Benin,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.484157758,4.794190986,3.862034695,5.791177836,6.956439351,9.681961141,11.20555205,12.93189937,13.35929665,18.00180889,18.10500917,30.89076962,45.69671484,54.46228523,48.50662931,51.67777597,47.18212525,48.58123068,47.16510111,50.32773739,45.27147676,44.03165526,41.79541335,41.87636357,64.60732743,48.2531343,43.43114132,42.94127221,41.57058082,39.40892225,39.59194114,37.98651118,30.76804176,23.38085204,21.50953025,26.97813898,8.366122298,14.28590371,18.30665552,18.7476805,20.99976509,21.86041054,19.54020639,18.503746,22.28207466,30.90022983,35.92334976,39.59846316,41.0803507,41.22964235,46.14207668,49.93715002
Bhutan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.873712021,2.676717061,5.047758125,11.43120274,15.97090431,18.57396866,26.5108345,28.41122763,29.49103702,35.99169388,38.24076951,40.41432481,42.39050975,37.26033877,38.43957282,35.71277967,39.42046749,42.48270445,47.68168045,56.69490795,62.49493038,74.66138397,81.97411452,85.06205541,87.27937088,72.3472121,65.02111727,65.68335537,60.97121984,69.11130896,79.33957237,96.82183444,98.83364377,98.56570323,112.3690596,111.7241377,113.3713464,106.4895177,130.893596,132.4188166
Bolivia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,69.24377668,62.91492233,73.5969462,77.4989043,50.55833864,53.53916763,64.79515071,76.4853353,76.37892699,84.835785,91.97568617,111.7899008,144.2554384,150.594801,160.2064913,192.1006878,140.0439869,135.8992841,118.0143955,100.0317892,104.8548416,94.6222007,94.10923564,85.40466173,89.04571414,83.04202582,73.55186192,65.55118229,62.21690853,62.49591895,63.71606435,71.71463954,76.34014028,84.22901286,78.54120658,72.96576414,48.95097038,37.11335081,33.94436191,36.23374568,34.40733197,30.22349782,29.08792952,28.29895415,27.74243812,29.5064481,31.15512649,32.87279232,35.31571897,40.20495999,57.82780467,62.73414315
