Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.05902722,36.49824871,33.75462024,32.869578,39.3642706,44.08845507,48.56499511,56.79257269,67.5343048,63.06074613,64.17061244,82.7639017,124.2533892,143.6424247,159.7837394,191.3127616,170.0659737,166.412963,161.2027892,151.66517,155.4470587,142.3059822,129.842222,148.4794459,231.1360582,226.322421,189.8200391,198.9871762,230.1818217,206.320832,145.0197886,180.0824742,163.5131711,185.3095807,122.591075,99.75153829,94.72486682,93.75744544,69.5980215,83.83552452,43.48701021,34.389938,30.19758088,33.93915411,42.3254126,74.19015714,91.04774986,94.22407916,77.13436506,84.80477077,113.9807336,103.6393958
Costa Rica,29.38450899,25.63938619,21.47454652,19.52835188,16.05689063,15.79775281,15.29232112,16.23340266,14.23533921,17.06925518,16.11955952,20.30860615,19.68242013,21.79366665,22.71492711,24.07789233,24.74815782,26.67299683,27.69032711,25.671494,28.62077152,30.42156191,31.8388802,32.82298376,30.34965831,26.06884438,29.49306116,27.79594089,41.70648391,39.50790602,37.71776607,32.26475123,31.82813607,29.78596754,25.22600041,22.82695896,26.14050026,21.1844867,18.22486726,19.30918767,18.54377543,28.36464285,23.32180151,24.43370116,26.97427735,29.05867764,33.68545758,30.5590774,40.69086086,38.98383466,38.85015982,39.64388572,41.43784305,40.56577919,41.00162174,37.32080491,33.03683212,26.97525756,24.00712927,25.99486235,28.08448667,29.50363604,33.75306771,35.09092804,37.48029923,39.77484853,43.78136026,46.78176168,51.58430114,56.08208082,67.18578457,68.30818803
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.04898128,17.33002908,14.96572924,13.10442118,10.35253002,9.159789201,28.26027768,33.56102876,34.81452674,34.85001966,36.3459373,39.11333773,40.15709709,37.70592555,36.38319295,38.29477262,47.43418786,55.98555789,62.35760075,68.15838945,78.76793023,82.23425482,81.78737628,78.42268812,75.38056425,71.80539636,69.60174952,85.30843705,77.74324641
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,86.92873997,89.05482224,94.01532373,95.5111637,97.12766034,97.85189983,91.67817701,84.88030791,77.32408888,89.09266151,92.70523138,103.1585964,119.4284127,146.3259035,152.5871911,149.4036469,142.9864971,131.5711223,136.911168,128.9953455,156.2367297,142.8163641
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.3289877,11.42033128,12.47580351,10.30474155,10.85963438,12.62259903,14.00960416,15.83194659,21.50588998,24.33557712,26.47556962,26.34470498,25.55222013,25.28898595,25.17164641,25.95340922,30.94519412,34.64613173,37.25459546,41.52366204,41.85498687,39.42922836,37.62142251,35.73204877,33.93578977,32.38747686,30.95634321,38.93030305,43.55503576
Côte d'Ivoire,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.23704785,15.02679496,15.24622116,16.20933491,17.02094028,17.10131634,19.82291736,23.40934139,27.60168074,33.01080046,34.74406187,44.12609652,56.37079123,61.4182053,no data,95.320464,91.545344,105.94874,102.95507,122.62309,132.10708,144.85113,140.44143,146.98177,173.87193,143.73085,141.47355,121.058,no data,78.01848827,73.98713139,71.17210591,62.98205268,56.38124406,56.71803564,58.16436672,57.4710326,53.53296656,51.24025622,46.47589539,45.61214665,50.02883473,24.69300573,24.62385606,26.71017483,29.17219826,31.40561227,33.17922444,35.62764593,38.3876193,47.58326811,52.13578128
Denmark,46.33902161,41.08527414,38.72507745,36.13877132,29.39541638,29.84094088,28.60745568,27.085488,26.14734987,23.1199454,19.92595483,16.40433185,15.08163549,13.47407983,10.75440372,7.866571008,6.096216009,5.819734383,5.293000034,4.75241405,4.806661101,5.017226873,5.284471606,4.961971186,4.560844554,4.337880045,7.549333458,10.79221444,19.4669231,26.31383333,33.95240871,43.7623468,56.24521402,67.61768455,70.16734851,68.31522116,65.95184313,63.14407802,61.41783112,59.82123981,61.43366251,62.28728057,66.74864439,78.38736152,75.53708042,74.28968927,72.48001882,67.81959099,62.79158203,59.49154303,53.59816898,50.65890111,50.24562638,48.36607039,45.71707076,38.28288197,31.75733834,27.06864208,31.23010652,36.43768259,38.16522597,41.0289606,39.97483908,38.35387995,38.22119813,33.36793763,30.6779694,29.28822231,27.4462736,26.49285685,34.71711591,29.016639
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.98249719,53.17574864,56.01096106,55.29224442,58.51038856,58.17482029,58.10667033,63.733888,66.32406803,65.34938156,60.36072507,58.39251385,56.68460726,59.30878923,29.55512081,27.90570076,25.70220094,25.06952888,24.59288161,26.92868448,40.26048498,45.92330628,47.98978086,48.09402012,42.04148146,43.99411017,45.95250905
Dominica,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.58999322,13.35473899,16.66195693,10.66958139,11.99209144,12.36286237,28.53322207,33.06284634,38.05079656,47.01899166,51.36767338,51.07392421,49.74402847,43.90245433,no data,56.56130391,58.70521927,55.30140248,55.40600777,56.97560276,59.2814612,54.66487542,49.27542429,57.08962106,61.97803974,69.55305202,97.49029131,99.36035546,98.22007667,85.81775023,84.93506839,80.44679135,74.90017439,66.52739199,62.81045863,67.31573557,68.63574358,74.03196183,75.56919261,73.53398784,71.13316268,72.90686844,86.68659292,90.01221804,89.3254745,118.234684,108.6153397
Dominican Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.67337288,13.77849737,14.74959449,24.27215205,26.72880026,17.48065394,18.82966229,16.58452321,22.51736051,26.89260463,27.14326801,28.31635194,31.48142998,36.81696288,35.27752352,33.25758631,34.50949269,36.05057485,36.82351365,39.60321204,55.92628944,50.02493316
Ecuador,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,56.79073333,53.31238409,57.6964871,66.39536291,62.47434655,51.99178155,51.96707213,45.26560287,48.27074717,71.69963105,63.67898946,49.37444837,43.85591131,40.43121823,36.40228302,32.39085568,26.46294679,25.19419735,20.57668038,14.93769498,17.81789175,17.26119555,20.08665521,22.9069464,27.51706466,30.94902013,35.6201928,41.30758402,42.95773201,49.84005348,no data,no data
Egypt,no data,no data,no data,no data,16.01994547,19.2080103,27.02107665,26.15856032,no data,24.06310009,32.24731204,36.71575989,39.90985862,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
El Salvador,no data,5.055098859,5.49016627,6.090733559,5.252239551,4.622935841,5.561952822,6.40450925,6.743163148,6.531775983,6.38762478,7.552473085,no data,7.422832997,7.607896238,8.46429856,9.366330349,9.491212098,9.662557727,10.38283069,10.13038157,10.36046933,11.00932878,11.15183285,12.17685831,13.07863297,14.41889153,12.13385038,14.63094919,15.90597971,21.98852209,39.5034814,50.08686466,66.41967781,102.3545622,112.0675131,92.8979591,96.31607114,84.66608582,84.93409542,55.73880789,57.51927097,52.61289717,41.55736824,36.97105309,32.49965514,32.33626864,28.62809789,26.1693916,28.39794449,30.51838755,35.08315141,40.20888821,42.5702656,44.08381288,43.92461261,43.95706319,41.49678654,41.40994722,50.29879075,49.88529331,48.14629262,51.34359602,49.18511523,49.62588309,49.66196691,49.57226588,48.74877848,48.22651094,48.48916919,63.37190284,58.98884645
Equatorial Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,146.2291317,221.0679042,260.6673553,259.2879106,257.9382617,183.757468,152.4651549,141.3178609,154.503718,187.0250152,157.0044751,169.4653682,136.8704982,152.5752675,215.973415,136.8744924,91.18550306,46.2614728,59.23316751,60.47790722,36.62746913,25.47707496,19.44671132,6.713131677,4.525943769,2.848871466,1.220132831,0.75386536,0.488085866,4.336992336,7.894111093,7.170424862,7.097239618,6.272055301,12.55993327,31.65670296,41.13941382,36.23513431,41.20737331,43.18955429,48.38161775,42.80469588
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.77593201,57.06102147,64.51324109,111.1638335,no data,219.0602431,238.5206516,243.3917369,263.9373593,193.4751877,205.3321353,199.0463642,201.2797722,259.6666478,206.8956303,198.3647349,160.7639513,154.6057332,186.9913323,136.5622384,180.7121391,167.5105984,202.5360879,185.606833,187.0871031,179.655684,176.2496246
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.326501017,2.913953918,3.470721936,3.132283216,2.781905749,2.251555328,2.054694069,1.402325299,1.75832693,3.680336488,3.362706989,3.290710399,10.90547417,11.05982937,11.31970254,10.97891221,10.93025074,9.996798641,9.319698274,9.778233032,18.39943084,17.69188791
Eswatini,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.30236431,19.77838241,18.89977649,20.20733797,15.38469497,15.44121604,13.98897741,13.69153499,31.24310603,30.80962301,27.22812717,24.30809806,29.23475236,28.72409649,29.71483898,45.53661645,43.99497586,36.13218587,27.47938896,26.77833389,20.39657484,20.14915998,16.55776677,15.18571422,13.37269145,12.51165568,11.60980605,12.6015017,15.47345201,16.69104845,18.15897835,21.7567928,17.13682937,17.48157729,15.02810546,13.5005617,14.58963196,16.11945258,14.59577739,10.4866612,14.09574416,14.68533686,14.76513436,15.00592317,14.13328893,19.654995,25.14937017,27.99079528,34.30098891,39.60865079,42.11395665,45.82308591
Fiji,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.351026233,7.512244581,8.006684875,10.94257658,11.62831347,12.18257898,12.64417904,15.72287919,15.30739951,15.70750082,19.35654671,21.65807375,25.73080325,28.9698092,26.34774305,28.26650326,27.29258422,32.00039232,32.85298399,no data,36.15608455,36.39191622,42.21629287,44.2657707,47.61788356,48.36717485,48.79742076,54.13172401,36.63022478,32.70300131,36.9255844,41.03481392,43.38506703,44.85363953,44.53406085,43.98945821,49.20405359,46.0426157,47.46373487,51.50418934,51.84114957,48.64208038,47.65327011,45.84682352,44.50805128,43.04452256,43.64742511,42.22069984,44.80885105,48.42890919,68.85876794,86.14867523
Finland,12.87364555,7.105301617,7.503976567,8.357970354,8.155261333,7.528594162,8.038001725,7.216889378,7.152736399,6.934418825,5.350055893,4.817012921,6.259619784,7.705693913,7.54416341,8.519608105,9.072475936,8.259344159,8.133132854,6.757491177,5.664034302,4.814788628,3.7950379,2.416136359,1.666032669,3.057177482,2.740722775,4.30017236,7.719928187,7.89129687,8.256635592,8.791410721,10.78891457,12.24523959,12.05465625,12.57613451,12.98214855,13.86695399,12.42801678,10.1386028,9.978122011,16.4639409,33.22285391,48.24053764,51.26668062,51.25470578,51.90678174,49.30464682,44.09665156,41.57946989,48.72399994,44.27220179,41.31433266,43.05267251,41.39633908,37.85666142,35.25682921,31.19547554,29.68059095,37.44380925,42.55008159,44.51206578,47.79468456,49.57787012,51.94420412,54.22617499,53.78405465,52.17829351,50.01542007,49.31376064,57.0926143,55.31497707
France,37.4647896,31.75408206,30.76328684,32.70054148,32.11815191,31.03931545,30.90072728,30.68555815,30.20334072,29.15525133,26.46172624,24.35346367,21.87831323,20.55183747,18.15356973,16.28669944,14.29459925,14.99160098,14.80099646,13.44953364,19.65180495,18.7502613,16.66201443,14.7876596,14.33327454,15.08079267,14.12420369,13.96118684,13.27246758,13.10373485,12.83839122,13.88276126,16.97984092,17.97046019,19.77285264,20.93207107,22.047739,23.6920593,23.87553163,24.99195183,26.15927544,26.6830325,29.72635309,35.00510892,38.79250797,44.11983193,47.58573658,48.82512607,49.92987626,49.68597408,48.58023042,48.46573918,50.61628173,53.75717652,53.66724197,54.29510648,51.41895873,51.18576668,55.25050442,67.04633597,68.25076468,69.64251794,72.02686322,74.7453345,76.02691457,76.60914688,78.93008864,79.55191486,80.44239722,80.86936724,92.98165175,91.76316539
Gabon,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.77233115,15.46974856,19.89790486,26.60264632,33.60106715,35.78948878,46.38630046,63.35030583,75.25186183,67.45771403,33.5445254,26.78148905,25.52169279,22.43620529,24.22676654,31.81524138,35.75557379,73.69295003,72.2456302,72.84353555,57.89342634,64.52959952,61.55692418,60.87133857,93.6358524,85.2895482,74.41043513,71.61988203,92.67061576,77.45922343,72.49690696,80.97943722,81.07006157,70.24102863,60.3012686,49.32633868,39.59781486,39.23709944,20.05319151,25.99174899,21.2952134,21.42499727,21.44243625,31.11281073,34.06279755,44.7032096,64.19872241,62.88553597,60.91397012,59.77854989,78.28176731,65.77136079
"Gambia, The",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.099405647,5.399811251,6.262174997,8.981249447,14.54821381,13.5164609,19.1271095,27.28227035,37.25874928,42.9207823,47.87267874,56.2776709,69.50236145,64.00754433,82.25380979,73.03380008,66.90177012,67.95897495,58.76327673,71.01987642,63.47442828,67.30792503,68.81520959,71.43746315,68.81099845,72.15831351,70.16785329,73.25022937,75.2298671,93.87527871,91.69429175,81.30305866,82.59647144,87.34426724,38.02286101,39.52827727,38.86814254,42.94865155,49.24063858,49.49189457,58.24417008,71.08602119,69.36887657,80.94830872,86.97918687,83.59574987,82.96687357,85.88829,83.77961443
Germany,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.550433434,8.298733855,8.86417165,8.492092615,8.228385079,8.276740191,9.809591815,9.868066436,8.55469443,7.806363192,7.189198843,7.290821867,7.089655966,7.60381588,10.6488231,11.45712695,12.37418812,13.4802282,14.21891532,15.20625713,17.17880637,18.69806593,19.69781635,20.21610246,20.66784858,20.6595051,21.16995104,21.67137349,21.07389018,23.25088776,22.77298524,24.84747894,27.06989017,28.81577437,35.46592702,37.2754999,37.7474441,38.26143505,39.06238468,38.22691303,36.41691292,37.00912598,38.8835081,39.75231158,41.29807587,41.17555805,39.52347423,40.05140409,44.41099385,52.14319139,50.00330418,50.6455373,49.53972291,47.7713216,45.33547244,43.56275162,41.31860699,39.30841344,37.42092443,44.42660692,46.26728674
Ghana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.179998842,21.20321658,17.81725484,17.48567347,16.88508643,19.63909259,19.75641404,18.04331472,16.56479679,15.480441,17.64422557,15.37938167,13.61934189,14.20832739,15.52994959,14.45111406,12.63713027,11.8653854,10.09376149,8.87959186,8.578764089,9.602730153,13.65451553,15.06600377,19.49920755,28.89847023,25.42076975,24.82077156,24.14681932,24.56177902,27.12057881,37.15531288,55.15510831,51.07688142,46.0473767,48.66597076,40.57177946,55.72978662,80.17038863,61.91948301,57.95988487,52.84728487,41.10736226,33.99258998,18.50880365,22.54859722,24.64368031,26.79168318,34.50710553,31.26432525,35.3513561,42.93008672,50.11081682,53.89573814,55.94237419,56.98390482,61.97616248,62.69420624,79.0631938,82.12405962
Greece,11.3195122,14.95558376,18.34261501,15.90850277,13.70705128,12.23079057,11.1732852,7.463687151,8.410447761,10.35487179,10.18155894,11.09696459,13.12777778,19.24005682,18.4556962,19.05450501,16.037,17.909764,19.33759591,21.28405253,18.82210097,19.00478978,20.12041352,16.55572155,17.47799437,18.17632151,20.80436022,23.23285277,23.65198711,23.13329486,24.59268515,28.77388791,29.63424153,33.95958813,40.50324804,48.65552788,49.28195382,54.80246701,59.55804036,62.51506668,76.47617065,77.76433244,83.48735689,94.54235039,100.0862409,101.6656998,104.1075688,100.7268955,98.17784165,97.36771446,99.3782157,96.57234776,102.4895423,100.23456,105.2737893,109.0375833,104.718735,103.7411369,109.2198101,126.7457224,151.8294337,180.9953371,162.1911605,178.7140435,182.879257,182.1931065,187.0311529,185.8102124,199.9067989,194.2782647,226.2231772,212.4035497
Grenada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,124.074033,68.28692378,58.9661232,45.99555138,42.11627301,37.53127065,33.91328551,31.44290706,32.12095114,24.58720273,22.59095615,27.43390124,38.97132987,48.52100486,46.64432229,45.030384,43.80112144,44.90377758,44.5680618,39.93768184,46.1664336,46.87985961,40.06893222,45.2842648,45.68468299,43.081888,43.869086,41.42769893,40.27091683,34.48363667,41.6261354,44.60779155,79.089601,79.56185393,94.69361995,87.31234005,92.92346123,89.05623532,83.91306238,91.09436482,96.21638247,102.7819125,101.5010415,105.4368207,99.33988646,90.09998359,81.56846487,70.4028419,64.01468128,58.54883852,71.41107692,70.32895393
Guatemala,3.30080746,2.825196985,2.624183426,3.288016639,2.095897146,4.718497561,3.861315213,3.987624207,4.539236873,6.244804892,6.652335101,7.414312115,7.659708464,7.599629973,7.816355636,10.70473217,10.76950554,11.40696118,11.57548306,11.19495541,11.41610575,13.2196662,14.81976445,13.26196948,12.52166319,12.087378,13.21338642,12.85993199,13.16325109,12.71925026,15.38200171,22.08472238,35.73620591,42.92306018,48.44386725,61.24662647,51.10495674,51.23502664,45.82595348,45.61582836,47.25291284,34.34143522,30.06112905,26.67157403,23.69319597,21.00779544,19.21505376,18.45863924,18.95566939,21.98894398,20.64612881,21.100405,18.75800665,21.31643052,21.47233244,20.77836934,21.11411992,20.99506887,19.81798794,23.15116592,24.32971539,24.04403657,24.80271014,25.17966974,24.79268525,24.92010163,25.03499209,25.15378849,26.48332478,26.48772395,31.56278266,30.77461098
Guinea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.60462118,70.85671919,62.00105174,68.91200917,71.28006551,66.53373628,67.67670757,67.86795551,75.93828659,92.25091303,91.4918237,90.4364842,82.61022789,81.57227595,86.86616818,97.91527999,95.22179807,60.80009561,58.46341683,61.30607456,68.8530165,58.08223268,27.18540112,33.96696209,35.15809778,44.38927484,43.00927616,41.88395742,39.26674414,38.57585405,47.49248312,42.54256013
Guinea-Bissau,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,73.9116804,111.7263487,141.4319117,124.5639084,117.2789101,88.85706849,85.29737146,112.3814015,105.4937692,103.3306289,117.3432449,118.9897935,152.6289026,145.1487782,217.1385959,204.4415746,197.4711815,183.3843597,201.9593245,203.6514243,190.4065885,163.9703178,148.8151713,148.2582054,61.72594494,44.82611396,46.58116539,48.85602286,58.44283768,54.87248348,57.70910961,50.66054444,57.93383725,63.98934878,76.51432321,78.52156772
Guyana,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,25.3317143,22.15610997,20.03027832,23.00377507,23.24619634,24.12685718,29.69484381,25.09652668,42.35628751,47.25247043,53.99405886,46.94240805,66.69331096,88.16326286,102.1985852,99.22926743,112.4746601,125.0246095,138.8661633,199.0571268,233.7836434,230.6512444,256.3807606,279.9743558,204.027245,262.9175645,243.6234288,305.2915859,265.2588435,316.1555068,279.9979675,236.1554149,210.6269969,146.9739353,128.296729,120.7550766,107.0449593,110.9896972,100.6329718,105.0783406,95.61711037,91.77002339,90.74093637,74.49823783,46.99265067,47.59764008,51.69145751,52.52018859,51.18882652,44.29723385,41.05414929,38.28419374,41.8253572,43.84413655,42.89350684,47.03291005,43.56193143,51.08197875,42.89810246
Haiti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.53851458,10.95103136,11.13699656,8.920681317,13.33303047,14.19057516,14.89788671,18.50057399,20.11443947,19.79449386,20.32700112,23.68746041,25.54147914,28.88441831,27.32774357,25.64763269,26.47163058,58.60071059,90.88527221,98.69491488,85.10651901,80.69131927,118.8593145,98.01836034,35.30460114,26.22652709,26.23888453,26.23423583,24.01152784,24.14565272,32.45464626,28.75399824,31.95132963,37.79411948,30.44870763,29.70930667,32.16332288,30.19151154,32.74736355,18.26801539,23.22027655,21.34156254,22.78948294,24.38008358,20.80244953,21.74085962,21.57118447,18.95772973,21.55303688,25.79428525,21.34587143,24.22620635
Honduras,1.915644189,1.623508448,2.516058515,2.224696733,2.40143959,2.239593883,3.403250105,4.009738924,no data,6.974342095,7.768322697,7.114250332,7.396215917,7.877315841,8.46924331,7.764744614,8.202161378,8.419800638,8.438744368,11.26017921,13.29899966,14.87377426,15.69154531,15.48701353,17.02801148,21.20256111,22.88150277,24.07503239,26.98858665,29.20822911,35.43455864,41.79757491,47.07133081,55.2315667,59.12442768,59.63012781,59.88732665,58.06781045,56.93311678,52.91167845,89.24185964,80.19962796,78.23812616,94.33088898,89.84755358,80.95920912,88.65326627,70.30764231,65.76318479,69.55689013,62.46870302,59.8286192,54.3799242,58.10848788,58.08804511,43.88725074,28.32301561,17.1562954,20.0764634,23.86625189,29.17992444,31.59336477,35.3393951,43.1156189,44.44062146,44.32557985,45.9804229,47.43658535,48.54642564,48.67146099,58.90965429,55.7897819
Hong Kong SAR,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.55752826,3.468635824,3.740046106,5.543115185,4.957068248,4.589743453,4.179903026,3.923892877,4.881738381,5.516986689,6.09998811,6.774472413,7.669626176,7.4778596,7.271085945,7.508264682,6.989325883,6.595946504,6.166432383,8.361039396,no data
Hungary,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,70.66750518,63.52377157,74.29123758,76.49957137,86.6113821,85.06296383,83.52804249,71.51448864,62.66306415,60.22430919,60.26198307,55.28103613,51.62459169,54.2463146,56.52252967,57.28013583,58.78459906,62.25180896,62.74051394,68.22940428,73.87350886,75.19442228,75.7998184,74.00380078,74.72954602,75.19758154,73.82560302,73.32816959,71.35170581,69.19676738,65.36941563,78.73423688,75.19786933
Iceland,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.48629136,11.45048549,12.32036849,16.17297938,16.60019081,18.07634187,19.28200633,20.46090365,22.22866435,23.06505681,26.46422726,28.30171959,30.28170023,30.8189102,27.64009959,25.45013299,26.72594854,31.1616522,31.31630835,33.57090822,39.54525301,47.15338135,49.4748184,51.457781,49.02754391,45.27763059,49.53025073,75.84232568,75.54741594,82.718313,80.48434683,84.5058872,78.99818738,66.53203659,69.67919159,67.47818237,107.9590469,124.7573308,130.0044558,135.6717161,131.6010906,120.1850015,114.85132,95.30895152,81.54917725,69.34486871,61.33896356,63.3917988,74.54197343,72.49698729
India,26.12710779,25.1774323,26.38853634,24.6462406,24.86206554,29.62537764,25.47954173,27.38253968,23.73223723,33.58485463,34.45864198,36.78928987,36.20562771,35.42749529,33.81146548,36.73269598,36.37774772,33.99422132,40.30924461,38.77964843,38.18350324,37.58300908,37.15702803,34.12933398,28.76786213,28.86382028,33.63917894,37.02638849,36.60485376,38.7614044,37.37834634,36.54086201,40.97831697,38.96371803,40.84469556,43.51557988,47.0391757,48.02440219,48.0638437,49.58658381,49.8953109,49.24717393,42.09487129,50.8788903,48.87191621,46.61244968,44.87720126,no data,54.88033538,52.23477675,55.59525303,57.00913158,59.8235795,57.21517904,55.13314497,52.18095171,49.08962753,47.43538396,47.49618477,49.35503108,44.74359992,45.77401735,47.09213436,46.9819273,46.02538691,45.77384001,45.53248946,44.27266063,44.12789525,46.77127332,55.18091057,54.26660393
Indonesia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,33.67807323,26.37786035,18.87195973,17.23414684,16.33750665,15.76293478,24.03218238,17.48881147,13.56029518,14.04640515,23.22741523,23.67073979,20.98494686,26.24697886,35.03955778,45.87912627,41.40497217,38.64772394,37.10345461,35.71663777,35.24730309,33.19198711,32.14494151,28.34624076,23.41697103,23.34063454,62.53980495,83.03120417,87.43729874,71.10391001,61.82997758,56.25407424,52.04221126,43.52398417,35.85404878,32.33356606,30.22692131,26.46083467,24.42915916,23.09771818,22.9547102,24.88441918,24.68167276,27.45999096,28.34653136,29.39883116,29.77540705,30.18192082,39.34805621,40.71036414
