"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"China","CHN","Intentional homicides, male (per 100,000 male)","VC.IHR.PSRC.MA.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Internally displaced persons, new displacement associated with conflict and violence (number of cases)","VC.IDP.NWCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"China","CHN","Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval","VA.PER.RNK.LOWER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","2.48756217956543","","2.98507452011108","","1.49253726005554","1.99004971981049","3.36538457870483","3.8461537361145","2.4038462638855","2.4038462638855","3.36538457870483","2.84360194206238","2.84360194206238","3.28638505935669","3.28638505935669","3.28638505935669","3.44827580451965","2.95566511154175","3.94088673591614","4.92610836029053","5.31400966644287","2.89855074882507","1.44927537441254","1.44927537441254","",
"China","CHN","Travel services (% of commercial service exports)","TX.VAL.TRVL.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","28.3925686591276","31.10300081103","33.1297161336687","33.4700854700855","33.9700996677741","39.9952752185211","38.0639694979877","33.4231805929919","30.2366040361865","34.1783216783217","38.7571365832235","42.603711790393","44.7780359545065","47.3685238600626","49.5940098215588","21.0037401061146","20.2074948286644","21.3583407820383","20.6966916228142","19.8403140193586","20.0239692130494","30.3664776000704","32.6716054591952","37.571463806734","36.3120821509328","27.627609632777","25.1113773405857","27.8179023968925","25.8275441200592","24.1964028661089","24.9409782849041","25.1066475449085","20.1955134969825","20.786625958366","21.444630433564","18.2429875536931","17.4218487459128","14.7594263231093","4.39556469545718","3.36254070757009","",
"China","CHN","Commercial service exports (current US$)","TX.VAL.SERV.CD.WT","","","","","","","","","","","","","","","","","","","","","","","2476000000","2466000000","2783000000","2925000000","3612000000","4233000000","4721000000","4452000000","5748000000","6864000000","9108000000","10992000000","16354000000","18429960000","20567000000","57485000000","62363000000","66007000000","78423162000","89676000000","101802993118.444","57319786078.7109","78780946446.4378","77974071360.9067","93492297849.761","134767359517.876","162647390647.061","142623981614.2","177384267691.244","200294234924.82","200585556141.878","205778170532.677","218086460963.646","216334862452.389","207192115754.645","211364158904.64","231809504743.291","242772303719.254","226375947450.48","336889113962.76","",
"China","CHN","Merchandise exports by the reporting economy (current US$)","TX.VAL.MRCH.WL.CD","","469800000","","","","","","","","","","","","","","","","","9650200000","13552200000","18139200000","21473600000","21863100000","22093400000","24821700000","27328400000","31367300000","39462000000","47660000000","52907869083","62755874524","71962490361","85616912557","91690694000","120864000000","148957000000","151163000000","182923000000","183749000000","194936000000","249300000000","266713000000","325751000000","438500000000","593647000000","762218000000","969025000000","1217830000000","1428870000000","1202050000000","1578440000000","1899280000000","2050090000000","2210660000000","2343220000000","2280540000000","2136590000000","2280090000000","2501330000000","2498550000000","2598020000000","","",
"China","CHN","Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)","TX.VAL.MRCH.R4.ZS","","6.13026819923372","","","","","","","","","","","","","","","","","2.17612070216161","2.04763802187099","2.81269295228014","6.65375158333954","10.0859438963368","10.9874442141092","8.84024865339602","5.6102808799637","5.95333356712245","5.84308955450813","3.49013848090642","1.59910050180389","1.5363766550433","1.24392860156648","1.23569744388488","1.31489679857805","1.01339935795605","0.997073652127795","1.00259388871615","1.04709303914762","1.28862578843967","1.4246342389297","1.29210750100281","1.41981418228583","1.54165942698564","1.54030581527936","1.4922417276597","1.54276165086629","1.68462361652176","1.92387845594213","2.09418169602553","2.54507383220332","2.38388238159195","2.2814538221326","2.23472557351141","2.39079160752897","2.84457524052372","2.70080834526033","2.76448434187186","2.57842036371371","2.34752510224561","2.31869567389086","2.17272711218543","","",
"China","CHN","Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports)","TX.VAL.MRCH.OR.ZS","","12.473392933163","","","","","","","","","","","","","","","","","5.87448964788295","5.90014905329024","6.97935961894681","13.5724796959988","17.0071947710983","16.7289778847982","14.2141754996636","10.7316930372799","10.7318768271416","11.3407835385941","8.83193453629878","5.03449306533471","5.62659403116195","4.50461342254603","7.58169712751372","8.71885864447705","6.39747815726767","6.86899306511275","6.59748615732686","6.95349409314302","7.75002095249498","7.4287596954898","7.77570356999599","8.25799829779576","8.66655451556557","9.39218654503991","10.0745963680436","10.9363680731759","12.5246879079487","14.8476060698127","16.6878608970725","16.1474789734204","17.0878584799549","17.8923386567541","17.8278880213064","18.1184359191825","18.9028025325407","18.1647765972533","18.513211004451","19.0553696622502","19.029522197391","19.5229009229353","18.20683285656","","",
"China","CHN","Ores and metals exports (% of merchandise exports)","TX.VAL.MMTL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","2.20438013141568","1.52152102105662","1.43441147933416","3.08700557244464","","","","","1.69054452864012","1.65044352178807","1.85593706296079","2.06554120824078","1.79073619811341","2.07175462677437","2.00362274524883","1.95591009512052","1.83767957725455","1.74535415424609","1.57791210521067","1.59380319283648","1.89169429050215","1.79072067915524","2.15043213751421","1.798056229728","1.64162254167846","1.16055322491633","1.35551382378782","1.43198201047339","1.22562185968402","1.17807626251683","1.24906371312883","1.17086953037954","1.12761789812447","1.20473204723595","1.32756116052616","1.26063099024319","1.12206922684085","1.37386649268365","1.51241196259416",
"China","CHN","Fuel exports (% of merchandise exports)","TX.VAL.FUEL.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","23.0209765667404","25.7589527332764","11.6427404345573","11.4550504352848","","","","","5.52424102009769","4.4783689356894","3.36262340846476","3.58384721631842","3.92677839358166","3.82213885487598","2.81568382698343","2.38996498851833","3.15222106435306","3.15850304161569","2.59070421728136","2.5361753489702","2.44053050133123","2.31272376664692","1.83393570516165","1.71119843888368","2.2208063178118","1.69623692345059","1.69056311409029","1.70007725545848","1.51374985096957","1.5294698347956","1.47061074195033","1.2272664163092","1.28100094525523","1.5635573554021","1.86764407076313","1.87465304454538","1.2143685449396","1.23956113376074","1.79009011301844",
