,Country Name,Year,Count
6916,Aruba,1992,68235
6917,Afghanistan,1992,14485546
6918,Angola,1992,12657366
6919,Albania,1992,3247039
6920,Andorra,1992,58888
6921,United Arab Emirates,1992,2052891
6922,Argentina,1992,33529326
6923,Armenia,1992,3442817
6924,American Samoa,1992,49896
6925,Antigua and Barbuda,1992,64471
6926,Australia,1992,17495000
6927,Austria,1992,7840709
6928,Azerbaijan,1992,7382000
6929,Burundi,1992,5685565
6930,Belgium,1992,10045158
6931,Benin,1992,5331803
6932,Burkina Faso,1992,9297113
6933,Bangladesh,1992,107983704
6934,Bulgaria,1992,8540164
6935,Bahrain,1992,523086
6936,"Bahamas, The",1992,266029
6937,Bosnia and Herzegovina,1992,4233676
6938,Belarus,1992,10216000
6939,Belize,1992,194324
6940,Bermuda,1992,58595
6941,Bolivia,1992,7160920
6942,Brazil,1992,154259380
6943,Barbados,1992,262886
6944,Brunei Darussalam,1992,273892
6945,Bhutan,1992,534516
6946,Botswana,1992,1363554
6947,Central African Republic,1992,2959236
6948,Canada,1992,28371264
6949,Switzerland,1992,6875364
6950,Channel Islands,1992,142006
6951,Chile,1992,13719819
6952,China,1992,1164970000
6953,Cote d'Ivoire,1992,12812421
6954,Cameroon,1992,12499499
6955,"Congo, Dem. Rep.",1992,37333914
6956,"Congo, Rep.",1992,2489952
6957,Colombia,1992,34422569
6958,Comoros,1992,436448
6959,Cabo Verde,1992,355757
6960,Costa Rica,1992,3286520
6961,Caribbean small states,1992,6112815
6962,Cuba,1992,10736387
6963,Curacao,1992,143912
6964,Cayman Islands,1992,27780
6965,Cyprus,1992,800611
6966,Czech Republic,1992,10319123
6967,Germany,1992,80624598
6968,Djibouti,1992,615054
6969,Dominica,1992,70544
6970,Denmark,1992,5171370
6971,Dominican Republic,1992,7408342
6972,Algeria,1992,27028326
6973,Ecuador,1992,10716129
6974,"Egypt, Arab Rep.",1992,58666814
6975,Eritrea,1992,2257596
6976,Spain,1992,39157685
6977,Estonia,1992,1533091
6978,Ethiopia,1992,51423585
6979,Finland,1992,5041992
6980,Fiji,1992,744469
6981,France,1992,58851217
6982,Faroe Islands,1992,46739
6983,"Micronesia, Fed. Sts.",1992,101389
6984,Gabon,1992,1002579
6985,United Kingdom,1992,57580402
6986,Georgia,1992,4873500
6987,Ghana,1992,15653336
6988,Gibraltar,1992,28840
6989,Guinea,1992,6716038
6990,"Gambia, The",1992,1027475
6991,Guinea-Bissau,1992,1020350
6992,Equatorial Guinea,1992,447266
6993,Greece,1992,10399061
6994,Grenada,1992,97165
6995,Greenland,1992,55300
6996,Guatemala,1992,9708544
6997,Guam,1992,136692
6998,Guyana,1992,748602
6999,"Hong Kong SAR, China",1992,5800500
7000,Honduras,1992,5244678
7001,Croatia,1992,4575818
7002,Haiti,1992,7319493
7003,Hungary,1992,10369341
7004,Indonesia,1992,187739786
7005,Isle of Man,1992,71254
7006,India,1992,909307016
7007,Ireland,1992,3558430
7008,"Iran, Islamic Rep.",1992,58780370
7009,Iraq,1992,18402734
7010,Iceland,1992,261057
7011,Israel,1992,5123000
7012,Italy,1992,56797087
7013,Jamaica,1992,2461049
7014,Jordan,1992,3977672
7015,Japan,1992,124229000
7016,Kazakhstan,1992,16439095
7017,Kenya,1992,25326078
7018,Kyrgyz Republic,1992,4515400
7019,Cambodia,1992,9623889
7020,Kiribati,1992,74766
7021,St. Kitts and Nevis,1992,40697
7022,"Korea, Rep.",1992,43747962
7023,Lao PDR,1992,4500351
7024,Lebanon,1992,3076132
7025,Liberia,1992,2001624
7026,Libya,1992,4650885
7027,St. Lucia,1992,141760
7028,Liechtenstein,1992,29553
7029,Sri Lanka,1992,17736821
7030,Lesotho,1992,1782285
7031,Lithuania,1992,3700114
7032,Luxembourg,1992,392175
7033,Latvia,1992,2614338
7034,"Macao SAR, China",1992,362311
7035,St. Martin (French part),1992,31811
7036,Morocco,1992,25711406
7037,Monaco,1992,29865
7038,Moldova,1992,3706000
7039,Madagascar,1992,12301336
7040,Maldives,1992,236265
7041,Mexico,1992,87075138
7042,Marshall Islands,1992,49245
7043,North Macedonia,1992,1988659
7044,Mali,1992,8850334
7045,Malta,1992,367618
7046,Myanmar,1992,42401684
7047,Montenegro,1992,608516
7048,Mongolia,1992,2243495
7049,Northern Mariana Islands,1992,46476
7050,Mozambique,1992,13806001
7051,Mauritania,1992,2142645
7052,Mauritius,1992,1084441
7053,Malawi,1992,9685973
7054,Malaysia,1992,19002656
7055,Namibia,1992,1516958
7056,New Caledonia,1992,179799
7057,Niger,1992,8566770
7058,Nigeria,1992,100161710
7059,Nicaragua,1992,4364512
7060,Netherlands,1992,15184166
7061,Norway,1992,4286401
7062,Nepal,1992,19938320
7063,Nauru,1992,10030
7064,New Zealand,1992,3531700
7065,Oman,1992,1983275
7066,Pakistan,1992,113911126
7067,Panama,1992,2575954
7068,Peru,1992,22966818
7069,Philippines,1992,65020116
7070,Palau,1992,15856
7071,Papua New Guinea,1992,4836217
7072,Poland,1992,38363667
7073,Puerto Rico,1992,3585176
7074,"Korea, Dem. People’s Rep.",1992,20937404
7075,Portugal,1992,9952494
7076,Paraguay,1992,4445016
7077,West Bank and Gaza,1992,2163591
7078,Pacific island small states,1992,1750921
7079,French Polynesia,1992,207245
7080,Qatar,1992,495395
7081,Romania,1992,22794284
7082,Russian Federation,1992,148689000
7083,Rwanda,1992,6702244
7084,Saudi Arabia,1992,17282691
7085,Sudan,1992,21696244
7086,Senegal,1992,7990096
7087,Singapore,1992,3230698
7088,Solomon Islands,1992,329995
7089,Sierra Leone,1992,4347724
7090,El Salvador,1992,5416323
7091,San Marino,1992,24822
7092,Somalia,1992,7295384
7093,Serbia,1992,7646424
7094,South Sudan,1992,5305457
7095,Sao Tome and Principe,1992,124576
7096,Suriname,1992,420655
7097,Slovak Republic,1992,5305016
7098,Slovenia,1992,1996498
7099,Sweden,1992,8668067
7100,Eswatini,1992,866993
7101,Seychelles,1992,70763
7102,Syrian Arab Republic,1992,13187663
7103,Turks and Caicos Islands,1992,13632
7104,Chad,1992,6356748
7105,Togo,1992,3945905
7106,Thailand,1992,57811021
7107,Tajikistan,1992,5502494
7108,Turkmenistan,1992,3899843
7109,Timor-Leste,1992,783198
7110,Tonga,1992,95399
7111,Trinidad and Tobago,1992,1236683
7112,Tunisia,1992,8613861
7113,Turkey,1992,55748948
7114,Tuvalu,1992,9112
7115,Tanzania,1992,26961197
7116,Uganda,1992,18561674
7117,Ukraine,1992,52150266
7118,Uruguay,1992,3154464
7119,United States,1992,256514000
7120,Uzbekistan,1992,21449000
