,Country Name,Year,Count
9754,Aruba,2005,100031
9755,Afghanistan,2005,25654277
9756,Angola,2005,19433602
9757,Albania,2005,3011487
9758,Andorra,2005,78867
9759,United Arab Emirates,2005,4588225
9760,Argentina,2005,38892931
9761,Armenia,2005,2981269
9762,American Samoa,2005,59562
9763,Antigua and Barbuda,2005,81465
9764,Australia,2005,20394800
9765,Austria,2005,8227829
9766,Azerbaijan,2005,8391850
9767,Burundi,2005,7364862
9768,Belgium,2005,10478617
9769,Benin,2005,7982225
9770,Burkina Faso,2005,13421930
9771,Bangladesh,2005,139035505
9772,Bulgaria,2005,7658972
9773,Bahrain,2005,889164
9774,"Bahamas, The",2005,324859
9775,Bosnia and Herzegovina,2005,3765331
9776,Belarus,2005,9663915
9777,Belize,2005,283800
9778,Bermuda,2005,64154
9779,Bolivia,2005,9232306
9780,Brazil,2005,186127103
9781,Barbados,2005,276323
9782,Brunei Darussalam,2005,365114
9783,Bhutan,2005,648739
9784,Botswana,2005,1799078
9785,Central African Republic,2005,4038382
9786,Canada,2005,32243753
9787,Switzerland,2005,7437115
9788,Channel Islands,2005,151678
9789,Chile,2005,16182721
9790,China,2005,1303720000
9791,Cote d'Ivoire,2005,18354514
9792,Cameroon,2005,17733410
9793,"Congo, Dem. Rep.",2005,54785903
9794,"Congo, Rep.",2005,3622775
9795,Colombia,2005,42647723
9796,Comoros,2005,611627
9797,Cabo Verde,2005,463032
9798,Costa Rica,2005,4285502
9799,Caribbean small states,2005,6742717
9800,Cuba,2005,11261582
9801,Curacao,2005,137658
9802,Cayman Islands,2005,49261
9803,Cyprus,2005,1027662
9804,Czech Republic,2005,10211216
9805,Germany,2005,82469422
9806,Djibouti,2005,783254
9807,Dominica,2005,70589
9808,Denmark,2005,5419432
9809,Dominican Republic,2005,9097257
9810,Algeria,2005,33149724
9811,Ecuador,2005,13825847
9812,"Egypt, Arab Rep.",2005,75523569
9813,Eritrea,2005,2826659
9814,Spain,2005,43653155
