,Country Name,Year,Count
11505,Aruba,2013,103159
11506,Afghanistan,2013,32269589
11507,Angola,2013,26015780
11508,Albania,2013,2895092
11509,Andorra,2013,80774
11510,United Arab Emirates,2013,9197910
11511,Argentina,2013,42202935
11512,Armenia,2013,2897584
11513,American Samoa,2013,55713
11514,Antigua and Barbuda,2013,91516
11515,Australia,2013,23128129
11516,Austria,2013,8479823
11517,Azerbaijan,2013,9416801
11518,Burundi,2013,9540289
11519,Belgium,2013,11159407
11520,Benin,2013,10004588
11521,Burkina Faso,2013,17072775
11522,Bangladesh,2013,152764676
11523,Bulgaria,2013,7265115
11524,Bahrain,2013,1315029
11525,"Bahamas, The",2013,367168
11526,Bosnia and Herzegovina,2013,3542605
11527,Belarus,2013,9465997
11528,Belize,2013,345715
11529,Bermuda,2013,65001
11530,Bolivia,2013,10542376
11531,Brazil,2013,201035903
11532,Barbados,2013,284296
11533,Brunei Darussalam,2013,404421
11534,Bhutan,2013,710238
11535,Botswana,2013,2062536
11536,Central African Republic,2013,4447942
11537,Canada,2013,35082954
11538,Switzerland,2013,8089346
11539,Channel Islands,2013,163038
11540,Chile,2013,17571507
11541,China,2013,1357380000
11542,Cote d'Ivoire,2013,22087505
11543,Cameroon,2013,22077298
11544,"Congo, Dem. Rep.",2013,71358807
11545,"Congo, Rep.",2013,4622761
11546,Colombia,2013,46497267
11547,Comoros,2013,741505
11548,Cabo Verde,2013,511748
11549,Costa Rica,2013,4742107
11550,Caribbean small states,2013,7123332
11551,Cuba,2013,11282720
11552,Curacao,2013,153822
11553,Cayman Islands,2013,59932
11554,Cyprus,2013,1143866
11555,Czech Republic,2013,10514272
11556,Germany,2013,80645605
11557,Djibouti,2013,883293
11558,Dominica,2013,71016
11559,Denmark,2013,5614932
11560,Dominican Republic,2013,10048224
11561,Algeria,2013,38140132
11562,Ecuador,2013,15707474
11563,"Egypt, Arab Rep.",2013,88404640
11564,Spain,2013,46620045
11565,Estonia,2013,1317997
11566,Ethiopia,2013,95385785
11567,Finland,2013,5438972
11568,Fiji,2013,865608
11569,France,2013,65998687
