,Country Name,Year,Count
6480,Aruba,1990,62149
6481,Afghanistan,1990,12412308
6482,Angola,1990,11848386
6483,Albania,1990,3286542
6484,Andorra,1990,54509
6485,United Arab Emirates,1990,1828432
6486,Argentina,1990,32618651
6487,Armenia,1990,3538171
6488,American Samoa,1990,47347
6489,Antigua and Barbuda,1990,62528
6490,Australia,1990,17065100
6491,Austria,1990,7677850
6492,Azerbaijan,1990,7159000
6493,Burundi,1990,5438957
6494,Belgium,1990,9967379
6495,Benin,1990,4978496
6496,Burkina Faso,1990,8811034
6497,Bangladesh,1990,103171956
6498,Bulgaria,1990,8718289
6499,Bahrain,1990,495931
6500,"Bahamas, The",1990,256223
6501,Bosnia and Herzegovina,1990,4463423
6502,Belarus,1990,10189000
6503,Belize,1990,187552
6504,Bermuda,1990,59326
6505,Bolivia,1990,6864842
6506,Brazil,1990,149003223
6507,Barbados,1990,260936
6508,Brunei Darussalam,1990,258721
6509,Bhutan,1990,530804
6510,Botswana,1990,1286756
6511,Central African Republic,1990,2806734
6512,Canada,1990,27691138
6513,Switzerland,1990,6715519
6514,Channel Islands,1990,140671
6515,Chile,1990,13274623
6516,China,1990,1135185000
6517,Cote d'Ivoire,1990,11924877
6518,Cameroon,1990,11780088
6519,"Congo, Dem. Rep.",1990,34612023
6520,"Congo, Rep.",1990,2356737
6521,Colombia,1990,33102575
6522,Comoros,1990,411594
6523,Cabo Verde,1990,337950
6524,Costa Rica,1990,3119433
6525,Caribbean small states,1990,6009251
6526,Cuba,1990,10596987
6527,Curacao,1990,145400
6528,Cayman Islands,1990,25312
6529,Cyprus,1990,766615
6530,Czech Republic,1990,10333355
6531,Germany,1990,79433029
6532,Djibouti,1990,590398
6533,Dominica,1990,70419
6534,Denmark,1990,5140939
6535,Dominican Republic,1990,7133494
6536,Algeria,1990,25758869
6537,Ecuador,1990,10230934
6538,"Egypt, Arab Rep.",1990,56134475
6539,Eritrea,1990,2258653
6540,Spain,1990,38867322
6541,Estonia,1990,1569174
6542,Ethiopia,1990,47887865
6543,Finland,1990,4986431
6544,Fiji,1990,728573
6545,France,1990,58235697
6546,Faroe Islands,1990,47274
6547,"Micronesia, Fed. Sts.",1990,96301
6548,Gabon,1990,949488
6549,United Kingdom,1990,57247586
6550,Georgia,1990,4802000
6551,Ghana,1990,14773277
6552,Gibraltar,1990,29147
6553,Guinea,1990,6352283
6554,"Gambia, The",1990,955593
6555,Guinea-Bissau,1990,975261
6556,Equatorial Guinea,1990,419188
6557,Greece,1990,10196792
6558,Grenada,1990,96331
6559,Greenland,1990,55600
6560,Guatemala,1990,9263813
6561,Guam,1990,130482
6562,Guyana,1990,743309
6563,"Hong Kong SAR, China",1990,5704500
6564,Honduras,1990,4955303
6565,Croatia,1990,4777368
6566,Haiti,1990,7037917
6567,Hungary,1990,10373988
6568,Indonesia,1990,181413402
6569,Isle of Man,1990,70298
6570,India,1990,873277798
6571,Ireland,1990,3513974
6572,"Iran, Islamic Rep.",1990,56366217
6573,Iraq,1990,17419113
6574,Iceland,1990,254826
6575,Israel,1990,4660000
6576,Italy,1990,56719240
6577,Jamaica,1990,2419906
6578,Jordan,1990,3565890
6579,Japan,1990,123537000
6580,Kazakhstan,1990,16348000
6581,Kenya,1990,23724579
6582,Kyrgyz Republic,1990,4391200
6583,Cambodia,1990,8975597
6584,Kiribati,1990,72400
6585,St. Kitts and Nevis,1990,40259
6586,"Korea, Rep.",1990,42869283
6587,Kuwait,1990,2095344
6588,Lao PDR,1990,4258472
6589,Lebanon,1990,2803044
6590,Liberia,1990,2075912
6591,Libya,1990,4436661
6592,St. Lucia,1990,138020
6593,Liechtenstein,1990,28789
6594,Sri Lanka,1990,17325773
6595,Lesotho,1990,1703747
6596,Lithuania,1990,3697838
6597,Luxembourg,1990,381850
6598,Latvia,1990,2663151
6599,"Macao SAR, China",1990,343808
6600,St. Martin (French part),1990,31520
6601,Morocco,1990,24807462
6602,Monaco,1990,29438
6603,Moldova,1990,3696000
6604,Madagascar,1990,11598633
6605,Maldives,1990,223158
6606,Mexico,1990,83943132
6607,Marshall Islands,1990,47271
6608,North Macedonia,1990,1996228
6609,Mali,1990,8449913
6610,Malta,1990,354170
6611,Myanmar,1990,41335199
6612,Montenegro,1990,606372
6613,Mongolia,1990,2184145
6614,Northern Mariana Islands,1990,45752
6615,Mozambique,1990,12987292
6616,Mauritania,1990,2034346
6617,Mauritius,1990,1058775
6618,Malawi,1990,9404500
6619,Malaysia,1990,18029824
6620,Namibia,1990,1432905
6621,New Caledonia,1990,170899
6622,Niger,1990,8026591
6623,Nigeria,1990,95212450
6624,Nicaragua,1990,4173434
6625,Netherlands,1990,14951510
6626,Norway,1990,4241473
6627,Nepal,1990,18905478
6628,Nauru,1990,9505
6629,New Zealand,1990,3329800
6630,Oman,1990,1812161
6631,Pakistan,1990,107647921
6632,Panama,1990,2470947
