,Country Name,Year,Count
9535,Aruba,2004,98737
9536,Afghanistan,2004,24726684
9537,Angola,2004,18758145
9538,Albania,2004,3026939
9539,Andorra,2004,76244
9540,United Arab Emirates,2004,4068570
9541,Argentina,2004,38491972
9542,Armenia,2004,3000720
9543,American Samoa,2004,59681
9544,Antigua and Barbuda,2004,80336
9545,Australia,2004,20127400
9546,Austria,2004,8171966
9547,Azerbaijan,2004,8306500
9548,Burundi,2004,7131693
9549,Belgium,2004,10421137
9550,Benin,2004,7750004
9551,Burkina Faso,2004,13030569
9552,Bangladesh,2004,136986432
9553,Bulgaria,2004,7716860
9554,Bahrain,2004,829844
9555,"Bahamas, The",2004,318894
9556,Bosnia and Herzegovina,2004,3764194
9557,Belarus,2004,9730146
9558,Belize,2004,276504
9559,Bermuda,2004,63740
9560,Bolivia,2004,9069039
9561,Brazil,2004,184006481
9562,Barbados,2004,275284
9563,Brunei Darussalam,2004,359433
9564,Bhutan,2004,638815
9565,Botswana,2004,1765527
9566,Central African Republic,2004,3959875
9567,Canada,2004,31940655
9568,Switzerland,2004,7389625
9569,Channel Islands,2004,150716
9570,Chile,2004,16014971
9571,China,2004,1296075000
9572,Cote d'Ivoire,2004,17970494
9573,Cameroon,2004,17259322
9574,"Congo, Dem. Rep.",2004,53068880
9575,"Congo, Rep.",2004,3510468
9576,Colombia,2004,42075955
9577,Comoros,2004,597228
9578,Cabo Verde,2004,456617
9579,Costa Rica,2004,4225155
9580,Caribbean small states,2004,6696953
9581,Cuba,2004,11250365
9582,Curacao,2004,134192
9583,Cayman Islands,2004,47902
9584,Cyprus,2004,1010408
9585,Czech Republic,2004,10197101
9586,Germany,2004,82516260
9587,Djibouti,2004,771603
9588,Dominica,2004,70382
9589,Denmark,2004,5404523
9590,Dominican Republic,2004,8974444
9591,Algeria,2004,32692163
9592,Ecuador,2004,13596388
9593,"Egypt, Arab Rep.",2004,74172073
9594,Eritrea,2004,2719803
9595,Spain,2004,42921895
9596,Estonia,2004,1362550
9597,Ethiopia,2004,74239505
9598,Finland,2004,5228172
9599,Fiji,2004,817860
9600,France,2004,62704895
9601,Faroe Islands,2004,47600
9602,"Micronesia, Fed. Sts.",2004,106625
9603,Gabon,2004,1353795
9604,United Kingdom,2004,59987905
9605,Georgia,2004,3927340
9606,Ghana,2004,21272323
9607,Gibraltar,2004,32928
9608,Guinea,2004,8925743
9609,"Gambia, The",2004,1496527
9610,Guinea-Bissau,2004,1313492
9611,Equatorial Guinea,2004,716949
9612,Greece,2004,10955141
9613,Grenada,2004,104347
9614,Greenland,2004,56911
9615,Guatemala,2004,12796925
9616,Guam,2004,158101
9617,Guyana,2004,745737
9618,"Hong Kong SAR, China",2004,6783500
9619,Honduras,2004,7282953
9620,Croatia,2004,4304600
9621,Haiti,2004,9047077
9622,Hungary,2004,10107146
9623,Indonesia,2004,223285676
9624,Isle of Man,2004,79520
9625,India,2004,1129623456
9626,Ireland,2004,4070262
9627,"Iran, Islamic Rep.",2004,68951281
9628,Iraq,2004,26313838
9629,Iceland,2004,292074
9630,Israel,2004,6809000
9631,Italy,2004,57685327
9632,Jamaica,2004,2725015
9633,Jordan,2004,5580244
9634,Japan,2004,127761000
9635,Kazakhstan,2004,15012985
9636,Kenya,2004,35635271
9637,Kyrgyz Republic,2004,5104700
9638,Cambodia,2004,13066469
9639,Kiribati,2004,90499
9640,St. Kitts and Nevis,2004,46324
9641,"Korea, Rep.",2004,48082519
9642,Kuwait,2004,2200492
9643,Lao PDR,2004,5662208
9644,Lebanon,2004,4569378
9645,Liberia,2004,3135651
9646,Libya,2004,5710154
9647,St. Lucia,2004,161816
9648,Liechtenstein,2004,34452
9649,Sri Lanka,2004,19387153
9650,Lesotho,2004,2005940
9651,Lithuania,2004,3377075
9652,Luxembourg,2004,458095
9653,Latvia,2004,2263122
9654,"Macao SAR, China",2004,471597
9655,St. Martin (French part),2004,33186
9656,Morocco,2004,30115214
9657,Monaco,2004,33500
9658,Moldova,2004,3603945
9659,Madagascar,2004,17802997
9660,Maldives,2004,311265
9661,Mexico,2004,104514932
9662,Marshall Islands,2004,54476
9663,North Macedonia,2004,2057048
9664,Mali,2004,12369070
9665,Malta,2004,401268
9666,Myanmar,2004,48564484
9667,Montenegro,2004,613353
9668,Mongolia,2004,2496391
9669,Northern Mariana Islands,2004,57246
9670,Mozambique,2004,19910552
9671,Mauritania,2004,2939247
9672,Mauritius,2004,1221003
9673,Malawi,2004,12301838
9674,Malaysia,2004,25190652
9675,Namibia,2004,1907745
9676,New Caledonia,2004,228750
