,Country Name,Year,Count
7785,Aruba,1996,83200
7786,Afghanistan,1996,18853437
7787,Angola,1996,14400719
7788,Albania,1996,3168033
7789,Andorra,1996,64360
7790,United Arab Emirates,1996,2539126
7791,Argentina,1996,35246374
7792,Armenia,1996,3168221
7793,American Samoa,1996,54211
7794,Antigua and Barbuda,1996,70173
7795,Australia,1996,18311000
7796,Austria,1996,7959017
7797,Azerbaijan,1996,7763000
7798,Burundi,1996,6060111
7799,Belgium,1996,10156637
7800,Benin,1996,6094259
7801,Burkina Faso,1996,10372745
7802,Bangladesh,1996,117649932
7803,Bulgaria,1996,8362826
7804,Bahrain,1996,578666
7805,"Bahamas, The",1996,283978
7806,Bosnia and Herzegovina,1996,3764425
7807,Belarus,1996,10160000
7808,Belize,1996,213664
7809,Bermuda,1996,60129
7810,Bolivia,1996,7779267
7811,Brazil,1996,164614688
7812,Barbados,1996,267049
7813,Brunei Darussalam,1996,304622
7814,Bhutan,1996,541465
7815,Botswana,1996,1504730
7816,Central African Republic,1996,3308233
7817,Canada,1996,29610218
7818,Switzerland,1996,7071850
7819,Channel Islands,1996,144335
7820,Chile,1996,14587370
7821,China,1996,1217550000
7822,Cote d'Ivoire,1996,14665127
7823,Cameroon,1996,13970813
7824,"Congo, Dem. Rep.",1996,42757243
7825,"Congo, Rep.",1996,2785810
7826,Colombia,1996,37076387
7827,Comoros,1996,488627
7828,Cabo Verde,1996,395533
7829,Costa Rica,1996,3632362
7830,Caribbean small states,1996,6331280
7831,Cuba,1996,10939293
7832,Curacao,1996,146306
7833,Cayman Islands,1996,34065
7834,Cyprus,1996,873423
7835,Czech Republic,1996,10315241
7836,Germany,1996,81914831
7837,Djibouti,1996,643654
7838,Dominica,1996,70936
7839,Denmark,1996,5263074
7840,Dominican Republic,1996,7952763
7841,Algeria,1996,29266405
7842,Ecuador,1996,11703174
7843,"Egypt, Arab Rep.",1996,63601629
7844,Eritrea,1996,2196464
7845,Spain,1996,39889852
7846,Estonia,1996,1415594
7847,Ethiopia,1996,58883530
7848,Finland,1996,5124573
7849,Fiji,1996,784386
7850,France,1996,59753100
7851,Faroe Islands,1996,45615
7852,"Micronesia, Fed. Sts.",1996,108321
7853,Gabon,1996,1112955
7854,United Kingdom,1996,58166950
7855,Georgia,1996,4491699
7856,Ghana,1996,17462496
7857,Gibraltar,1996,28971
7858,Guinea,1996,7463782
7859,"Gambia, The",1996,1164091
7860,Guinea-Bissau,1996,1110833
7861,Equatorial Guinea,1996,515853
7862,Greece,1996,10608800
7863,Grenada,1996,101001
7864,Greenland,1996,55900
7865,Guatemala,1996,10646674
7866,Guam,1996,148060
7867,Guyana,1996,760795
7868,"Hong Kong SAR, China",1996,6435500
7869,Honduras,1996,5874809
7870,Croatia,1996,4557097
7871,Haiti,1996,7887304
7872,Hungary,1996,10311238
7873,Indonesia,1996,199901228
7874,Isle of Man,1996,72878
7875,India,1996,982365243
7876,Ireland,1996,3637510
7877,"Iran, Islamic Rep.",1996,62294920
7878,Iraq,1996,20783073
7879,Iceland,1996,268916
7880,Israel,1996,5692000
7881,Italy,1996,56860281
7882,Jamaica,1996,2558637
7883,Jordan,1996,4732854
7884,Japan,1996,125757000
7885,Kazakhstan,1996,15577894
7886,Kenya,1996,28589451
7887,Kyrgyz Republic,1996,4628400
7888,Cambodia,1996,10982917
7889,Kiribati,1996,78903
7890,St. Kitts and Nevis,1996,42475
7891,"Korea, Rep.",1996,45524681
7892,Kuwait,1996,1626857
7893,Lao PDR,1996,4951195
7894,Lebanon,1996,3610665
7895,Liberia,1996,2160478
7896,Libya,1996,5036171
7897,St. Lucia,1996,148834
7898,Liechtenstein,1996,31348
7899,Sri Lanka,1996,18367288
7900,Lesotho,1996,1934291
7901,Lithuania,1996,3601613
7902,Luxembourg,1996,414225
7903,Latvia,1996,2457222
7904,"Macao SAR, China",1996,393373
7905,St. Martin (French part),1996,26849
7906,Morocco,1996,27383473
7907,Monaco,1996,30995
7908,Moldova,1996,3667748
7909,Madagascar,1996,13902688
7910,Maldives,1996,259183
7911,Mexico,1996,93147044
7912,Marshall Islands,1996,50533
7913,North Macedonia,1996,1989443
7914,Mali,1996,9837571
7915,Malta,1996,379905
7916,Myanmar,1996,44452206
7917,Montenegro,1996,611003
7918,Mongolia,1996,2316568
7919,Northern Mariana Islands,1996,47521
7920,Mozambique,1996,15960442
7921,Mauritania,1996,2372901
7922,Mauritius,1996,1133996
7923,Malawi,1996,10022789
7924,Malaysia,1996,21017613
7925,Namibia,1996,1663378
7926,New Caledonia,1996,197564
7927,Niger,1996,9826598
7928,Nigeria,1996,110668794
7929,Nicaragua,1996,4741578
7930,Netherlands,1996,15530498
7931,Norway,1996,4381336
7932,Nepal,1996,22090352
7933,Nauru,1996,10672
7934,New Zealand,1996,3732000
7935,Oman,1996,2236654
7936,Pakistan,1996,127349290
7937,Panama,1996,2796291
7938,Peru,1996,24753824
7939,Philippines,1996,71401749
7940,Palau,1996,17593
7941,Papua New Guinea,1996,5314248
7942,Poland,1996,38624370
7943,Puerto Rico,1996,3724655
7944,"Korea, Dem. People’s Rep.",1996,22113438
7945,Portugal,1996,10063945
7946,Paraguay,1996,4887632
7947,West Bank and Gaza,1996,2587997
7948,Pacific island small states,1996,1868414
7949,French Polynesia,1996,222322
7950,Qatar,1996,522531
7951,Romania,1996,22619004
7952,Russian Federation,1996,148160042
7953,Rwanda,1996,6013107
7954,Saudi Arabia,1996,19033845
7955,Sudan,1996,24782383
7956,Senegal,1996,8912861
7957,Singapore,1996,3670704
7958,Solomon Islands,1996,369523
7959,Sierra Leone,1996,4312666
7960,El Salvador,1996,5689938
7961,San Marino,1996,26252
7962,Somalia,1996,7682686
7963,Serbia,1996,7617794
7964,South Sudan,1996,5221926
7965,Sao Tome and Principe,1996,133806
7966,Suriname,1996,448213
7967,Slovak Republic,1996,5373361
7968,Slovenia,1996,1988628
7969,Sweden,1996,8840998
7970,Eswatini,1996,945508
7971,Seychelles,1996,76417
7972,Syrian Arab Republic,1996,14754142
7973,Turks and Caicos Islands,1996,16926
7974,Chad,1996,7250975
7975,Togo,1996,4348805
7976,Thailand,1996,60130186
7977,Tajikistan,1996,5851355
7978,Turkmenistan,1996,4287346
7979,Timor-Leste,1996,855362
7980,Tonga,1996,96273
7981,Trinidad and Tobago,1996,1257549
7982,Tunisia,1996,9267340
7983,Turkey,1996,59423282
7984,Tuvalu,1996,9323
7985,Tanzania,1996,30444526
7986,Uganda,1996,21032821
7987,Ukraine,1996,51057189
7988,Uruguay,1996,3247381
7989,United States,1996,269394000
7990,Uzbekistan,1996,23225000
7991,St. Vincent and the Grenadines,1996,107976
7992,"Venezuela, RB",1996,22385650
7993,British Virgin Islands,1996,19502
7994,Virgin Islands (U.S.),1996,108095
7995,Vietnam,1996,76068743
7996,Vanuatu,1996,171722
7997,Samoa,1996,171165
7998,Kosovo,1996,2059000
7999,"Yemen, Rep.",1996,15469274
8000,South Africa,1996,42241011
8001,Zambia,1996,9339733
8002,Zimbabwe,1996,11541217
