,Country Name,Year,Count
0,Aruba,1960,54211
1,Afghanistan,1960,8996973
2,Angola,1960,5454933
3,Albania,1960,1608800
4,Andorra,1960,13411
5,United Arab Emirates,1960,92418
6,Argentina,1960,20481779
7,Armenia,1960,1874121
8,American Samoa,1960,20123
9,Antigua and Barbuda,1960,54131
10,Australia,1960,10276477
11,Austria,1960,7047539
12,Azerbaijan,1960,3895397
13,Burundi,1960,2797932
14,Belgium,1960,9153489
15,Benin,1960,2431622
16,Burkina Faso,1960,4829288
17,Bangladesh,1960,48013504
18,Bulgaria,1960,7867374
19,Bahrain,1960,162427
20,"Bahamas, The",1960,109534
21,Bosnia and Herzegovina,1960,3225668
22,Belarus,1960,8198000
23,Belize,1960,92064
24,Bermuda,1960,44400
25,Bolivia,1960,3656955
26,Brazil,1960,72179226
27,Barbados,1960,230980
28,Brunei Darussalam,1960,81702
29,Bhutan,1960,223288
30,Botswana,1960,502745
31,Central African Republic,1960,1501668
32,Canada,1960,17909009
33,Switzerland,1960,5327827
34,Channel Islands,1960,109420
35,Chile,1960,8132990
36,China,1960,667070000
37,Cote d'Ivoire,1960,3503553
38,Cameroon,1960,5176918
39,"Congo, Dem. Rep.",1960,15248251
40,"Congo, Rep.",1960,1018253
41,Colombia,1960,16057724
42,Comoros,1960,191121
43,Cabo Verde,1960,201765
44,Costa Rica,1960,1330782
45,Caribbean small states,1960,4194710
46,Cuba,1960,7141250
47,Curacao,1960,124826
48,Cayman Islands,1960,7865
49,Cyprus,1960,572930
50,Czech Republic,1960,9602006
51,Germany,1960,72814900
52,Djibouti,1960,83636
53,Dominica,1960,60011
54,Denmark,1960,4579603
55,Dominican Republic,1960,3294224
56,Algeria,1960,11057863
57,Ecuador,1960,4543666
58,"Egypt, Arab Rep.",1960,26632894
59,Eritrea,1960,1007590
60,Spain,1960,30455000
61,Estonia,1960,1211537
62,Ethiopia,1960,22151278
63,Finland,1960,4429634
64,Fiji,1960,393481
65,France,1960,46621669
66,Faroe Islands,1960,34615
67,"Micronesia, Fed. Sts.",1960,44514
68,Gabon,1960,500928
69,United Kingdom,1960,52400000
70,Georgia,1960,3645600
71,Ghana,1960,6635230
72,Gibraltar,1960,23420
73,Guinea,1960,3494162
74,"Gambia, The",1960,365047
75,Guinea-Bissau,1960,616136
76,Equatorial Guinea,1960,255333
77,Greece,1960,8331725
78,Grenada,1960,89932
79,Greenland,1960,32500
80,Guatemala,1960,4210747
81,Guam,1960,66742
82,Guyana,1960,571819
83,"Hong Kong SAR, China",1960,3075605
84,Honduras,1960,2038632
85,Croatia,1960,4140181
86,Haiti,1960,3866159
87,Hungary,1960,9983967
88,Indonesia,1960,87751068
89,Isle of Man,1960,48442
90,India,1960,450547679
91,Ireland,1960,2828600
92,"Iran, Islamic Rep.",1960,21906914
93,Iraq,1960,7289760
94,Iceland,1960,175574
95,Israel,1960,2114020
96,Italy,1960,50199700
97,Jamaica,1960,1628520
98,Jordan,1960,933102
99,Japan,1960,92500572
100,Kazakhstan,1960,9934563
101,Kenya,1960,8120080
102,Kyrgyz Republic,1960,2172300
103,Cambodia,1960,5722370
104,Kiribati,1960,41202
105,St. Kitts and Nevis,1960,51195
106,"Korea, Rep.",1960,25012374
107,Kuwait,1960,269029
108,Lao PDR,1960,2120898
109,Lebanon,1960,1804941
110,Liberia,1960,1118657
111,Libya,1960,1448417
112,St. Lucia,1960,89697
113,Liechtenstein,1960,16493
114,Sri Lanka,1960,9874476
115,Lesotho,1960,837270
116,Lithuania,1960,2778550
117,Luxembourg,1960,313970
118,Latvia,1960,2120979
119,"Macao SAR, China",1960,167791
120,St. Martin (French part),1960,3893
121,Morocco,1960,12328532
122,Monaco,1960,22452
123,Moldova,1960,2544000
124,Madagascar,1960,5099373
125,Maldives,1960,89863
126,Mexico,1960,37771859
127,Marshall Islands,1960,14662
128,North Macedonia,1960,1488667
129,Mali,1960,5263733
130,Malta,1960,326550
131,Myanmar,1960,21736942
132,Montenegro,1960,480579
133,Mongolia,1960,955505
134,Northern Mariana Islands,1960,9979
135,Mozambique,1960,7184869
136,Mauritania,1960,850384
137,Mauritius,1960,659351
138,Malawi,1960,3659984
139,Malaysia,1960,8156347
140,Namibia,1960,634142
141,New Caledonia,1960,79000
142,Niger,1960,3388764
143,Nigeria,1960,45138458
144,Nicaragua,1960,1773129
145,Netherlands,1960,11486631
146,Norway,1960,3581239
147,Nepal,1960,10105050
148,Nauru,1960,4375
149,New Zealand,1960,2371800
150,Oman,1960,551740
151,Pakistan,1960,44988690
152,Panama,1960,1132997
153,Peru,1960,10155015
154,Philippines,1960,26269734
155,Palau,1960,9771
156,Papua New Guinea,1960,2255859
157,Poland,1960,29637450
158,Puerto Rico,1960,2358000
159,"Korea, Dem. People’s Rep.",1960,11424176
160,Portugal,1960,8857716
161,Paraguay,1960,1903982
162,Pacific island small states,1960,865072
163,French Polynesia,1960,78076
164,Qatar,1960,47384
165,Romania,1960,18406905
166,Russian Federation,1960,119897000
167,Rwanda,1960,2935582
168,Saudi Arabia,1960,4086539
169,Sudan,1960,7544491
170,Senegal,1960,3206749
171,Singapore,1960,1646400
172,Solomon Islands,1960,117849
173,Sierra Leone,1960,2317636
174,El Salvador,1960,2766324
175,San Marino,1960,15432
176,Somalia,1960,2755972
177,South Sudan,1960,2842724
178,Sao Tome and Principe,1960,64302
179,Suriname,1960,287871
180,Slovak Republic,1960,4068095
181,Slovenia,1960,1584720
182,Sweden,1960,7484656
183,Eswatini,1960,336583
184,Seychelles,1960,41700
185,Syrian Arab Republic,1960,4573512
186,Turks and Caicos Islands,1960,5824
187,Chad,1960,3001609
188,Togo,1960,1580513
189,Thailand,1960,27397207
190,Tajikistan,1960,2087049
191,Turkmenistan,1960,1603258
192,Timor-Leste,1960,474532
193,Tonga,1960,61577
194,Trinidad and Tobago,1960,847979
195,Tunisia,1960,4178236
196,Turkey,1960,27472345
197,Tuvalu,1960,5323
198,Tanzania,1960,10052152
199,Uganda,1960,6767095
200,Ukraine,1960,42664652
201,Uruguay,1960,2538643
202,United States,1960,180671000
203,Uzbekistan,1960,8526300
204,St. Vincent and the Grenadines,1960,80977
205,"Venezuela, RB",1960,8141841
206,British Virgin Islands,1960,8048
207,Virgin Islands (U.S.),1960,32500
208,Vietnam,1960,32670039
209,Vanuatu,1960,63689
210,Samoa,1960,108629
211,Kosovo,1960,947000
212,"Yemen, Rep.",1960,5315355
213,South Africa,1960,17099840
214,Zambia,1960,3070776
215,Zimbabwe,1960,3776681
