,Country Name,Year,Count
1080,Aruba,1965,57360
1081,Afghanistan,1965,9956320
1082,Angola,1965,5770570
1083,Albania,1965,1864791
1084,Andorra,1965,18549
1085,United Arab Emirates,1965,149857
1086,Argentina,1965,22159650
1087,Armenia,1965,2211319
1088,American Samoa,1965,23672
1089,Antigua and Barbuda,1965,58698
1090,Australia,1965,11388000
1091,Austria,1965,7270889
1092,Azerbaijan,1965,4592609
1093,Burundi,1965,3094379
1094,Belgium,1965,9463667
1095,Benin,1965,2632356
1096,Burkina Faso,1965,5174870
1097,Bangladesh,1965,55385112
1098,Bulgaria,1965,8204168
1099,Bahrain,1965,187431
1100,"Bahamas, The",1965,140059
1101,Bosnia and Herzegovina,1965,3535643
1102,Belarus,1965,8610000
1103,Belize,1965,106119
1104,Bermuda,1965,50100
1105,Bolivia,1965,4038872
1106,Brazil,1965,83373530
1107,Barbados,1965,235413
1108,Brunei Darussalam,1965,102386
1109,Bhutan,1965,253994
1110,Botswana,1965,559994
1111,Central African Republic,1965,1639706
1112,Canada,1965,19678000
1113,Switzerland,1965,5856472
1114,Channel Islands,1965,114995
1115,Chile,1965,8989621
1116,China,1965,715185000
1117,Cote d'Ivoire,1965,4226844
1118,Cameroon,1965,5773543
1119,"Congo, Dem. Rep.",1965,17369883
1120,"Congo, Rep.",1965,1155392
1121,Colombia,1965,18725245
1122,Comoros,1965,207424
1123,Cabo Verde,1965,230418
1124,Costa Rica,1965,1592841
1125,Caribbean small states,1965,4580374
1126,Cuba,1965,7958169
1127,Curacao,1965,135266
1128,Cayman Islands,1965,8369
1129,Cyprus,1965,580966
1130,Czech Republic,1965,9779358
1131,Germany,1965,75963695
1132,Djibouti,1965,114963
1133,Dominica,1965,65038
1134,Denmark,1965,4759012
1135,Dominican Republic,1965,3877765
1136,Algeria,1965,12550885
1137,Ecuador,1965,5243977
1138,"Egypt, Arab Rep.",1965,30433022
1139,Eritrea,1965,1148189
1140,Spain,1965,31954292
1141,Estonia,1965,1294566
1142,Ethiopia,1965,25013626
1143,Finland,1965,4563732
1144,Fiji,1965,463968
1145,France,1965,49818028
1146,Faroe Islands,1965,36847
1147,"Micronesia, Fed. Sts.",1965,52227
1148,Gabon,1965,533361
1149,United Kingdom,1965,54348050
1150,Georgia,1965,3921600
1151,Ghana,1965,7739473
1152,Gibraltar,1965,26073
1153,Guinea,1965,3801705
1154,"Gambia, The",1965,405259
1155,Guinea-Bissau,1965,649790
1156,Equatorial Guinea,1965,276300
1157,Greece,1965,8550333
1158,Grenada,1965,94636
1159,Greenland,1965,39200
1160,Guatemala,1965,4869716
1161,Guam,1965,74830
