,Country Name,Year,Count
648,Aruba,1963,56695
649,Afghanistan,1963,9543205
650,Angola,1963,5679458
651,Albania,1963,1762621
652,Andorra,1963,16412
653,United Arab Emirates,1963,125130
654,Argentina,1963,21488912
655,Armenia,1963,2077578
656,American Samoa,1963,22034
657,Antigua and Barbuda,1963,56702
658,Australia,1963,10950000
659,Austria,1963,7175811
660,Azerbaijan,1963,4315127
661,Burundi,1963,2964427
662,Belgium,1963,9289770
663,Benin,1963,2542859
664,Burkina Faso,1963,5027821
665,Bangladesh,1963,52202007
666,Bulgaria,1963,8078145
667,Bahrain,1963,178140
668,"Bahamas, The",1963,127339
669,Bosnia and Herzegovina,1963,3417574
670,Belarus,1963,8437232
671,Belize,1963,100164
672,Bermuda,1963,47700
673,Bolivia,1963,3879192
674,Brazil,1963,78772657
675,Barbados,1963,233630
676,Brunei Darussalam,1963,93540
677,Bhutan,1963,240523
678,Botswana,1963,535685
679,Central African Republic,1963,1579370
680,Canada,1963,18964000
681,Switzerland,1963,5694247
682,Channel Islands,1963,112595
683,Chile,1963,8650387
684,China,1963,682335000
685,Cote d'Ivoire,1963,3918628
686,Cameroon,1963,5518104
687,"Congo, Dem. Rep.",1963,16461830
688,"Congo, Rep.",1963,1096638
689,Colombia,1963,17629979
690,Comoros,1963,200372
691,Cabo Verde,1963,216096
692,Costa Rica,1963,1486553
693,Caribbean small states,1963,4432217
694,Cuba,1963,7623294
695,Curacao,1963,130860
696,Cayman Islands,1963,8227
697,Cyprus,1963,577913
698,Czech Republic,1963,9670685
699,Germany,1963,74714353
700,Djibouti,1963,100628
701,Dominica,1963,62918
702,Denmark,1963,4684483
703,Dominican Republic,1963,3638109
704,Algeria,1963,11912803
705,Ecuador,1963,4948986
706,"Egypt, Arab Rep.",1963,28871383
707,Eritrea,1963,1088854
708,Spain,1963,31296651
709,Estonia,1963,1258857
710,Ethiopia,1963,23798430
711,Finland,1963,4523309
712,Fiji,1963,436293
713,France,1963,48582611
714,Faroe Islands,1963,35969
715,"Micronesia, Fed. Sts.",1963,48855
716,Gabon,1963,517580
717,United Kingdom,1963,53650000
718,Georgia,1963,3816100
719,Ghana,1963,7300116
720,Gibraltar,1963,24889
721,Guinea,1963,3672556
722,"Gambia, The",1963,387641
723,Guinea-Bissau,1963,635011
724,Equatorial Guinea,1963,266000
725,Greece,1963,8479625
726,Grenada,1963,93413
727,Greenland,1963,36400
728,Guatemala,1963,4595510
729,Guam,1963,71286
730,Guyana,1963,622575
731,"Hong Kong SAR, China",1963,3420900
732,Honduras,1963,2216704
733,Croatia,1963,4225675
734,Haiti,1963,4097755
735,Hungary,1963,10087947
736,Indonesia,1963,95015297
737,Isle of Man,1963,48800
738,India,1963,478825608
739,Ireland,1963,2852650
740,"Iran, Islamic Rep.",1963,23680258
741,Iraq,1963,7888913
742,Iceland,1963,185653
743,Israel,1963,2379000
744,Italy,1963,51252000
745,Jamaica,1963,1703651
746,Jordan,1963,1050213
747,Japan,1963,96812000
748,Kazakhstan,1963,11147859
749,Kenya,1963,8928511
750,Kyrgyz Republic,1963,2413700
751,Cambodia,1963,6183584
752,Kiribati,1963,44338
753,St. Kitts and Nevis,1963,50525
754,"Korea, Rep.",1963,27261747
755,Kuwait,1963,378746
756,Lao PDR,1963,2273351
757,Lebanon,1963,1985001
758,Liberia,1963,1191802
759,Libya,1963,1607171
760,St. Lucia,1963,93211
761,Liechtenstein,1963,17719
762,Sri Lanka,1963,10597511
763,Lesotho,1963,886057
764,Lithuania,1963,2898950
765,Luxembourg,1963,324100
766,Latvia,1963,2210919
767,"Macao SAR, China",1963,184245
768,St. Martin (French part),1963,4183
769,Morocco,1963,13478423
770,Monaco,1963,23168
771,Moldova,1963,2720000
772,Madagascar,1963,5486319
773,Maldives,1963,97551
774,Mexico,1963,41462369
775,Marshall Islands,1963,16114
776,North Macedonia,1963,1547450
777,Mali,1963,5441613
778,Malta,1963,322550
779,Myanmar,1963,23198241
780,Montenegro,1963,513409
781,Mongolia,1963,1042383
782,Northern Mariana Islands,1963,10590
783,Mozambique,1963,7679458
784,Mauritania,1963,928734
785,Mauritius,1963,718861
786,Malawi,1963,3933908
787,Malaysia,1963,8973788
788,Namibia,1963,681637
789,New Caledonia,1963,85700
790,Niger,1963,3693980
791,Nigeria,1963,48032934
792,Nicaragua,1963,1946234
793,Netherlands,1963,11965966
794,Norway,1963,3666537
795,Nepal,1963,10604621
796,Nauru,1963,5275
797,New Zealand,1963,2531800
798,Oman,1963,593504
799,Pakistan,1963,48387301
800,Panama,1963,1238889
801,Peru,1963,11062300
802,Philippines,1963,29012625
803,Palau,1963,10569
804,Papua New Guinea,1963,2385946
805,Poland,1963,30712000
806,Puerto Rico,1963,2504530
807,"Korea, Dem. People’s Rep.",1963,12065468
808,Portugal,1963,9030355
809,Paraguay,1963,2060339
810,Pacific island small states,1963,954111
811,French Polynesia,1963,86847
812,Qatar,1963,61716
813,Romania,1963,18797850
814,Russian Federation,1963,123960000
815,Rwanda,1963,3105419
816,Saudi Arabia,1963,4516533
817,Sudan,1963,8248812
818,Senegal,1963,3481654
819,Singapore,1963,1795000
820,Solomon Islands,1963,128838
821,Sierra Leone,1963,2426857
822,El Salvador,1963,3019224
823,San Marino,1963,16679
824,Somalia,1963,2936477
825,South Sudan,1963,3009062
826,Sao Tome and Principe,1963,64231
827,Suriname,1963,311947
828,Slovak Republic,1963,4282017
829,Slovenia,1963,1616971
830,Sweden,1963,7604328
831,Eswatini,1963,357292
832,Seychelles,1963,45176
833,Syrian Arab Republic,1963,5034646
834,Turks and Caicos Islands,1963,5870
835,Chad,1963,3183572
836,Togo,1963,1631764
837,Thailand,1963,29966865
838,Tajikistan,1963,2318248
839,Turkmenistan,1963,1773853
840,Timor-Leste,1963,500647
841,Tonga,1963,68981
842,Trinidad and Tobago,1963,891944
843,Tunisia,1963,4380068
844,Turkey,1963,29531365
845,Tuvalu,1963,5343
846,Tanzania,1963,10968195
847,Uganda,1963,7461634
848,Ukraine,1963,44288608
849,Uruguay,1963,2635126
850,United States,1963,189242000
851,Uzbekistan,1963,9428906
852,St. Vincent and the Grenadines,1963,84198
853,"Venezuela, RB",1963,9052635
854,British Virgin Islands,1963,8476
855,Virgin Islands (U.S.),1963,39800
856,Vietnam,1963,35721217
857,Vanuatu,1963,69946
858,Samoa,1963,119559
859,Kosovo,1963,1022000
860,"Yemen, Rep.",1963,5556766
861,South Africa,1963,18423161
862,Zambia,1963,3360104
863,Zimbabwe,1963,4178726
