,Country Name,Year,Count
216,Aruba,1961,55438
217,Afghanistan,1961,9169410
218,Angola,1961,5531472
219,Albania,1961,1659800
220,Andorra,1961,14375
221,United Arab Emirates,1961,100796
222,Argentina,1961,20817266
223,Armenia,1961,1941492
224,American Samoa,1961,20602
225,Antigua and Barbuda,1961,55001
226,Australia,1961,10483000
227,Austria,1961,7086299
228,Azerbaijan,1961,4030322
229,Burundi,1961,2852438
230,Belgium,1961,9183948
231,Benin,1961,2465867
232,Burkina Faso,1961,4894580
233,Bangladesh,1961,49362843
234,Bulgaria,1961,7943118
235,Bahrain,1961,167894
236,"Bahamas, The",1961,115121
237,Bosnia and Herzegovina,1961,3288603
238,Belarus,1961,8271216
239,Belize,1961,94703
240,Bermuda,1961,45500
241,Bolivia,1961,3728964
242,Brazil,1961,74311343
243,Barbados,1961,231718
244,Brunei Darussalam,1961,85562
245,Bhutan,1961,228851
246,Botswana,1961,512685
247,Central African Republic,1961,1526066
248,Canada,1961,18271000
249,Switzerland,1961,5434294
250,Channel Islands,1961,110399
251,Chile,1961,8303811
252,China,1961,660330000
253,Cote d'Ivoire,1961,3631553
254,Cameroon,1961,5285017
255,"Congo, Dem. Rep.",1961,15637699
256,"Congo, Rep.",1961,1043116
257,Colombia,1961,16567811
258,Comoros,1961,194139
259,Cabo Verde,1961,205327
260,Costa Rica,1961,1381183
261,Caribbean small states,1961,4274060
262,Cuba,1961,7291200
263,Curacao,1961,126125
264,Cayman Islands,1961,8026
265,Cyprus,1961,576395
266,Czech Republic,1961,9586651
267,Germany,1961,73377632
268,Djibouti,1961,88498
269,Dominica,1961,61032
270,Denmark,1961,4611687
271,Dominican Republic,1961,3406280
272,Algeria,1961,11336339
273,Ecuador,1961,4674172
274,"Egypt, Arab Rep.",1961,27366237
275,Eritrea,1961,1033328
276,Spain,1961,30739250
277,Estonia,1961,1225077
278,Ethiopia,1961,22671191
279,Finland,1961,4461005
280,Fiji,1961,407249
281,France,1961,47240543
282,Faroe Islands,1961,35076
283,"Micronesia, Fed. Sts.",1961,45932
284,Gabon,1961,505799
285,United Kingdom,1961,52800000
286,Georgia,1961,3703600
287,Ghana,1961,6848295
288,Gibraltar,1961,23813
289,Guinea,1961,3552065
290,"Gambia, The",1961,372445
291,Guinea-Bissau,1961,622761
292,Equatorial Guinea,1961,258791
293,Greece,1961,8398050
294,Grenada,1961,91327
295,Greenland,1961,33700
296,Guatemala,1961,4336143
297,Guam,1961,68072
298,Guyana,1961,589274
299,"Hong Kong SAR, China",1961,3168100
300,Honduras,1961,2096409
301,Croatia,1961,4167292
302,Haiti,1961,3941944
303,Hungary,1961,10029321
304,Indonesia,1961,90098394
305,Isle of Man,1961,48281
306,India,1961,459642165
307,Ireland,1961,2824400
308,"Iran, Islamic Rep.",1961,22480372
309,Iraq,1961,7475350
310,Iceland,1961,179029
311,Israel,1961,2185000
312,Italy,1961,50536350
313,Jamaica,1961,1651073
314,Jordan,1961,973988
315,Japan,1961,94943000
316,Kazakhstan,1961,10349414
317,Kenya,1961,8377696
318,Kyrgyz Republic,1961,2255900
319,Cambodia,1961,5872966
320,Kiribati,1961,42229
321,St. Kitts and Nevis,1961,51192
322,"Korea, Rep.",1961,25765673
323,Kuwait,1961,300576
324,Lao PDR,1961,2170344
325,Lebanon,1961,1864619
326,Liberia,1961,1142302
327,Libya,1961,1498071
328,St. Lucia,1961,90716
329,Liechtenstein,1961,16893
330,Sri Lanka,1961,10111637
331,Lesotho,1961,852890
332,Lithuania,1961,2823550
333,Luxembourg,1961,316845
334,Latvia,1961,2152681
335,"Macao SAR, China",1961,170462
336,St. Martin (French part),1961,3989
337,Morocco,1961,12710581
338,Monaco,1961,22808
339,Moldova,1961,2605000
340,Madagascar,1961,5223568
341,Maldives,1961,92325
342,Mexico,1961,38966056
343,Marshall Islands,1961,15051
344,North Macedonia,1961,1507654
345,Mali,1961,5322266
346,Malta,1961,325250
347,Myanmar,1961,22211624
348,Montenegro,1961,491140
349,Mongolia,1961,982178
350,Northern Mariana Islands,1961,10245
351,Mozambique,1961,7342111
352,Mauritania,1961,875581
353,Mauritius,1961,680757
354,Malawi,1961,3747753
355,Malaysia,1961,8417824
356,Namibia,1961,649279
357,New Caledonia,1961,81200
358,Niger,1961,3486326
359,Nigeria,1961,46063563
360,Nicaragua,1961,1829778
361,Netherlands,1961,11638712
362,Norway,1961,3609800
363,Nepal,1961,10267264
364,Nauru,1961,4632
365,New Zealand,1961,2419700
366,Oman,1961,564893
367,Pakistan,1961,46065231
368,Panama,1961,1167113
369,Peru,1961,10446620
370,Philippines,1961,27161047
371,Palau,1961,10049
372,Papua New Guinea,1961,2297059
373,Poland,1961,29964000
374,Puerto Rico,1961,2399722
375,"Korea, Dem. People’s Rep.",1961,11665595
376,Portugal,1961,8929316
377,Paraguay,1961,1954548
378,Pacific island small states,1961,893380
379,French Polynesia,1961,80706
380,Qatar,1961,51421
381,Romania,1961,18555250
382,Russian Federation,1961,121236000
383,Rwanda,1961,2998325
384,Saudi Arabia,1961,4218853
385,Sudan,1961,7769482
386,Senegal,1961,3295278
387,Singapore,1961,1702400
