,Country Name,Year,Count
8440,Aruba,1999,89005
8441,Afghanistan,1999,20170844
8442,Angola,1999,15866869
8443,Albania,1999,3108778
8444,Andorra,1999,64370
8445,United Arab Emirates,1999,2966034
8446,Argentina,1999,36467218
8447,Armenia,1999,3089022
8448,American Samoa,1999,57053
8449,Antigua and Barbuda,1999,74674
8450,Australia,1999,18926000
8451,Austria,1999,7992324
8452,Azerbaijan,1999,7982750
8453,Burundi,1999,6267124
8454,Belgium,1999,10226419
8455,Benin,1999,6664098
8456,Burkina Faso,1999,11282701
8457,Bangladesh,1999,125189651
8458,Bulgaria,1999,8210624
8459,Bahrain,1999,636541
8460,"Bahamas, The",1999,294062
8461,Bosnia and Herzegovina,1999,3743354
8462,Belarus,1999,10026738
8463,Belize,1999,238988
8464,Bermuda,1999,61285
8465,Bolivia,1999,8257066
8466,Brazil,1999,172318675
8467,Barbados,1999,270451
8468,Brunei Darussalam,1999,326210
8469,Bhutan,1999,577881
8470,Botswana,1999,1610264
8471,Central African Republic,1999,3558014
8472,Canada,1999,30401286
8473,Switzerland,1999,7143991
8474,Channel Islands,1999,147555
8475,Chile,1999,15162800
8476,China,1999,1252735000
8477,Cote d'Ivoire,1999,16032573
8478,Cameroon,1999,15112592
8479,"Congo, Dem. Rep.",1999,45919613
8480,"Congo, Rep.",1999,3038433
8481,Colombia,1999,38999471
8482,Comoros,1999,528848
8483,Cabo Verde,1999,420452
8484,Costa Rica,1999,3885430
8485,Caribbean small states,1999,6468476
8486,Cuba,1999,11084670
8487,Curacao,1999,139428
8488,Cayman Islands,1999,40420
8489,Cyprus,1999,926046
8490,Czech Republic,1999,10283860
8491,Germany,1999,82100243
8492,Djibouti,1999,699975
8493,Dominica,1999,69835
8494,Denmark,1999,5321799
8495,Dominican Republic,1999,8343283
8496,Algeria,1999,30623406
8497,Ecuador,1999,12442115
8498,"Egypt, Arab Rep.",1999,67515591
8499,Eritrea,1999,2237405
8500,Spain,1999,40386875
8501,Estonia,1999,1390244
8502,Ethiopia,1999,64343013
8503,Finland,1999,5165474
8504,Fiji,1999,806303
8505,France,1999,60496718
8506,Faroe Islands,1999,46436
8507,"Micronesia, Fed. Sts.",1999,107781
8508,Gabon,1999,1199052
8509,United Kingdom,1999,58682466
8510,Georgia,1999,4157192
8511,Ghana,1999,18812359
8512,Gibraltar,1999,30529
8513,Guinea,1999,8054743
8514,"Gambia, The",1999,1277133
8515,Guinea-Bissau,1999,1177131
8516,Equatorial Guinea,1999,581770
8517,Greece,1999,10761698
8518,Grenada,1999,102432
8519,Greenland,1999,56100
8520,Guatemala,1999,11387203
8521,Guam,1999,153953
8522,Guyana,1999,749674
8523,"Hong Kong SAR, China",1999,6606500
8524,Honduras,1999,6397151
8525,Croatia,1999,4512597
8526,Haiti,1999,8319057
8527,Hungary,1999,10237530
8528,Indonesia,1999,208615169
8529,Isle of Man,1999,76001
8530,India,1999,1038058156
8531,Ireland,1999,3754786
8532,"Iran, Islamic Rep.",1999,64800880
8533,Iraq,1999,22802064
8534,Iceland,1999,277381
8535,Israel,1999,6125000
8536,Italy,1999,56916317
