,Country Name,Year,Count
2160,Aruba,1970,59063
2161,Afghanistan,1970,11173642
2162,Angola,1970,5890365
2163,Albania,1970,2135479
2164,Andorra,1970,24276
2165,United Arab Emirates,1970,234514
2166,Argentina,1970,23880561
2167,Armenia,1970,2525068
2168,American Samoa,1970,27363
2169,Antigua and Barbuda,1970,64177
2170,Australia,1970,12507000
2171,Austria,1970,7467086
2172,Azerbaijan,1970,5180023
2173,Burundi,1970,3479074
2174,Belgium,1970,9655549
2175,Benin,1970,2912340
2176,Burkina Faso,1970,5624600
2177,Bangladesh,1970,64232482
2178,Bulgaria,1970,8489574
2179,Bahrain,1970,212605
2180,"Bahamas, The",1970,169377
2181,Bosnia and Herzegovina,1970,3760529
2182,Belarus,1970,9040000
2183,Belize,1970,122182
2184,Bermuda,1970,55000
2185,Bolivia,1970,4484004
2186,Brazil,1970,95113265
2187,Barbados,1970,238896
2188,Brunei Darussalam,1970,129529
2189,Bhutan,1970,297316
2190,Botswana,1970,627715
2191,Central African Republic,1970,1811144
2192,Canada,1970,21324000
2193,Switzerland,1970,6180877
2194,Channel Islands,1970,121197
2195,Chile,1970,9783134
2196,China,1970,818315000
2197,Cote d'Ivoire,1970,5102064
2198,Cameroon,1970,6519762
2199,"Congo, Dem. Rep.",1970,20011036
2200,"Congo, Rep.",1970,1326885
2201,Colombia,1970,21480065
2202,Comoros,1970,230054
2203,Cabo Verde,1970,268627
2204,Costa Rica,1970,1847394
2205,Caribbean small states,1970,4893454
2206,Cuba,1970,8712541
2207,Curacao,1970,144739
2208,Cayman Islands,1970,9144
2209,Cyprus,1970,613618
2210,Czech Republic,1970,9858071
2211,Germany,1970,78169289
2212,Djibouti,1970,159659
2213,Dominica,1970,71073
2214,Denmark,1970,4928757
2215,Dominican Republic,1970,4499720
2216,Algeria,1970,14464985
2217,Ecuador,1970,6069376
2218,"Egypt, Arab Rep.",1970,34513850
2219,Eritrea,1970,1310945
2220,Spain,1970,33814531
2221,Estonia,1970,1360076
2222,Ethiopia,1970,28415077
2223,Finland,1970,4606307
2224,Fiji,1970,520562
2225,France,1970,51957738
2226,Faroe Islands,1970,39009
2227,"Micronesia, Fed. Sts.",1970,61417
2228,Gabon,1970,589314
2229,United Kingdom,1970,55663250
2230,Georgia,1970,4119900
2231,Ghana,1970,8735495
2232,Gibraltar,1970,28606
2233,Guinea,1970,4154605
2234,"Gambia, The",1970,464410
2235,Guinea-Bissau,1970,704939
2236,Equatorial Guinea,1970,303982
2237,Greece,1970,8792806
2238,Grenada,1970,94475
2239,Greenland,1970,46400
2240,Guatemala,1970,5621792
2241,Guam,1970,83877
2242,Guyana,1970,704934
2243,"Hong Kong SAR, China",1970,3959000
2244,Honduras,1970,2716654
2245,Croatia,1970,4412252
2246,Haiti,1970,4676230
2247,Hungary,1970,10337910
2248,Indonesia,1970,114793178
2249,Isle of Man,1970,55425
2250,India,1970,555189792
2251,Ireland,1970,2957250
2252,"Iran, Islamic Rep.",1970,28513866
2253,Iraq,1970,9917983
2254,Iceland,1970,204438
2255,Israel,1970,2974000
2256,Italy,1970,53821850
2257,Jamaica,1970,1875642
2258,Jordan,1970,1721323
2259,Japan,1970,104345000
2260,Kazakhstan,1970,13036139
2261,Kenya,1970,11301394
2262,Kyrgyz Republic,1970,2959900
2263,Cambodia,1970,6996576
2264,Kiribati,1970,51151
2265,St. Kitts and Nevis,1970,44883
2266,"Korea, Rep.",1970,32240827
2267,Kuwait,1970,744450
2268,Lao PDR,1970,2688428
2269,Lebanon,1970,2297434
2270,Liberia,1970,1400730
2271,Libya,1970,2133526
2272,St. Lucia,1970,104015
2273,Liechtenstein,1970,21266
2274,Sri Lanka,1970,12485740
2275,Lesotho,1970,1028926
2276,Lithuania,1970,3139689
2277,Luxembourg,1970,339171
2278,Latvia,1970,2359164
2279,"Macao SAR, China",1970,246194
2280,St. Martin (French part),1970,5712
2281,Morocco,1970,16004731
2282,Monaco,1970,23484
2283,Moldova,1970,3044000
2284,Madagascar,1970,6576305
2285,Maldives,1970,115691
2286,Mexico,1970,51493565
2287,Marshall Islands,1970,20395
2288,North Macedonia,1970,1720800
2289,Mali,1970,5949045
2290,Malta,1970,302650
2291,Myanmar,1970,27269069
2292,Montenegro,1970,512407
2293,Mongolia,1970,1278825
2294,Northern Mariana Islands,1970,12994
2295,Mozambique,1970,9022741
2296,Mauritania,1970,1146780
2297,Mauritius,1970,826000
2298,Malawi,1970,4703782
2299,Malaysia,1970,10804131
2300,Namibia,1970,817469
2301,New Caledonia,1970,112000
2302,Niger,1970,4510644
2303,Nigeria,1970,55982144
2304,Nicaragua,1970,2406513
2305,Netherlands,1970,13038526
2306,Norway,1970,3875763
