,Country Name,Year,Count
1296,Aruba,1966,57715
1297,Afghanistan,1966,10174836
1298,Angola,1966,5781214
1299,Albania,1966,1914573
1300,Andorra,1966,19647
1301,United Arab Emirates,1966,159976
1302,Argentina,1966,22494035
1303,Armenia,1966,2276034
1304,American Samoa,1966,24462
1305,Antigua and Barbuda,1966,59915
1306,Australia,1966,11651000
1307,Austria,1966,7322066
1308,Azerbaijan,1966,4721523
1309,Burundi,1966,3170490
1310,Belgium,1966,9527807
1311,Benin,1966,2682159
1312,Burkina Faso,1966,5256363
1313,Bangladesh,1966,57157654
1314,Bulgaria,1966,8258057
1315,Bahrain,1966,191780
1316,"Bahamas, The",1966,146382
1317,Bosnia and Herzegovina,1966,3586636
1318,Belarus,1966,8696496
1319,Belize,1966,109347
1320,Bermuda,1966,51000
1321,Bolivia,1966,4122517
1322,Brazil,1966,85696505
1323,Barbados,1966,236088
1324,Brunei Darussalam,1966,107274
1325,Bhutan,1966,261668
1326,Botswana,1966,571964
1327,Central African Republic,1966,1673019
1328,Canada,1966,20048000
1329,Switzerland,1966,5918002
1330,Channel Islands,1966,116227
1331,Chile,1966,9152844
1332,China,1966,735400000
1333,Cote d'Ivoire,1966,4383728
1334,Cameroon,1966,5909882
1335,"Congo, Dem. Rep.",1966,17862049
1336,"Congo, Rep.",1966,1186785
1337,Colombia,1966,19279740
1338,Comoros,1966,211478
1339,Cabo Verde,1966,238655
1340,Costa Rica,1966,1645083
1341,Caribbean small states,1966,4648367
1342,Cuba,1966,8115487
1343,Curacao,1966,136682
1344,Cayman Islands,1966,8441
1345,Cyprus,1966,585309
1346,Czech Republic,1966,9821040
1347,Germany,1966,76600311
1348,Djibouti,1966,122866
1349,Dominica,1966,66311
1350,Denmark,1966,4797381
1351,Dominican Republic,1966,3999796
1352,Algeria,1966,12902627
1353,Ecuador,1966,5399422
1354,"Egypt, Arab Rep.",1966,31237600
1355,Eritrea,1966,1178875
1356,Spain,1966,32283194
1357,Estonia,1966,1308597
1358,Ethiopia,1966,25641044
1359,Finland,1966,4580869
1360,Fiji,1966,476404
1361,France,1966,50330262
1362,Faroe Islands,1966,37278
1363,"Micronesia, Fed. Sts.",1966,54192
1364,Gabon,1966,543112
1365,United Kingdom,1966,54648500
1366,Georgia,1966,3966700
1367,Ghana,1966,7941412
1368,Gibraltar,1966,26633
1369,Guinea,1966,3870203
1370,"Gambia, The",1966,415478
1371,Guinea-Bissau,1966,658994
1372,Equatorial Guinea,1966,283506
1373,Greece,1966,8613651
1374,Grenada,1966,94934
1375,Greenland,1966,40500
1376,Guatemala,1966,5013153
1377,Guam,1966,76607
1378,Guyana,1966,664521
1379,"Hong Kong SAR, China",1966,3629900
1380,Honduras,1966,2414803
1381,Croatia,1966,4310701
1382,Haiti,1966,4341318
1383,Hungary,1966,10178653
1384,Indonesia,1966,103025426
1385,Isle of Man,1966,51049
1386,India,1966,509631500
1387,Ireland,1966,2888800
1388,"Iran, Islamic Rep.",1966,25624373
1389,Iraq,1966,8651162
1390,Iceland,1966,195570
1391,Israel,1966,2629000
1392,Italy,1966,52519000
1393,Jamaica,1966,1780518
1394,Jordan,1966,1267062
1395,Japan,1966,99790000
1396,Kazakhstan,1966,12132559
1397,Kenya,1966,9851444
1398,Kyrgyz Republic,1966,2655300
1399,Cambodia,1966,6585035
1400,Kiribati,1966,47434
1401,St. Kitts and Nevis,1966,48358
1402,"Korea, Rep.",1966,29435571
1403,Kuwait,1966,523166
1404,Lao PDR,1966,2439196
1405,Lebanon,1966,2136617
1406,Liberia,1966,1273464
1407,Libya,1966,1803683
1408,St. Lucia,1966,97715
1409,Liechtenstein,1966,19152
1410,Sri Lanka,1966,11380670
1411,Lesotho,1966,941794
1412,Lithuania,1966,3008050
1413,Luxembourg,1966,333895
1414,Latvia,1966,2283217
1415,"Macao SAR, China",1966,213192
1416,St. Martin (French part),1966,4685
1417,Morocco,1966,14595350
1418,Monaco,1966,23305
1419,Moldova,1966,2873000
1420,Madagascar,1966,5918595
1421,Maldives,1966,105136
1422,Mexico,1966,45519737
1423,Marshall Islands,1966,17842
1424,North Macedonia,1966,1617795
1425,Mali,1966,5635859
1426,Malta,1966,315200
1427,Myanmar,1966,24823940
1428,Montenegro,1966,526419
1429,Mongolia,1966,1139961
1430,Northern Mariana Islands,1966,11344
1431,Mozambique,1966,8225921
1432,Mauritania,1966,1016100
1433,Mauritius,1966,768813
1434,Malawi,1966,4240429
1435,Malaysia,1966,9790084
1436,Namibia,1966,734867
1437,New Caledonia,1966,93500
1438,Niger,1966,4027963
1439,Nigeria,1966,51217973
1440,Nicaragua,1966,2131976
1441,Netherlands,1966,12456251
1442,Norway,1966,3753012
1443,Nepal,1966,11172529
1444,Nauru,1966,6067
1445,New Zealand,1966,2675900
1446,Oman,1966,642001
1447,Pakistan,1966,52260189
1448,Panama,1966,1353842
1449,Peru,1966,12045787
1450,Philippines,1966,31864182
1451,Palau,1966,11179
1452,Papua New Guinea,1966,2539674
1453,Poland,1966,31681000
1454,Puerto Rico,1966,2624995
1455,"Korea, Dem. People’s Rep.",1966,12864954
1456,Portugal,1966,8930990
1457,Paraguay,1966,2230741
1458,Pacific island small states,1966,1043386
1459,French Polynesia,1966,96716
1460,Qatar,1966,79846
1461,Romania,1966,19215450
1462,Russian Federation,1966,127468000
1463,Rwanda,1966,3321679
1464,Saudi Arabia,1966,5015357
1465,Sudan,1966,9047798
1466,Senegal,1966,3789383
1467,Singapore,1966,1934400
1468,Solomon Islands,1966,140991
1469,Sierra Leone,1966,2551578
1470,El Salvador,1966,3293952
1471,San Marino,1966,17918
1472,Somalia,1966,3143648
1473,South Sudan,1966,3199343
1474,Sao Tome and Principe,1966,66183
1475,Suriname,1966,338158
1476,Slovak Republic,1966,4411666
1477,Slovenia,1966,1669905
1478,Sweden,1966,7807797
1479,Eswatini,1966,383826
1480,Seychelles,1966,48699
1481,Syrian Arab Republic,1966,5553246
1482,Turks and Caicos Islands,1966,5791
1483,Chad,1966,3372189
1484,Togo,1966,1774029
1485,Thailand,1966,32789130
1486,Tajikistan,1966,2574511
1487,Turkmenistan,1966,1952141
1488,Timor-Leste,1966,529327
1489,Tonga,1966,76771
1490,Trinidad and Tobago,1966,919217
1491,Tunisia,1966,4641000
1492,Turkey,1966,31717507
1493,Tuvalu,1966,5438
1494,Tanzania,1966,11985440
1495,Uganda,1966,8263439
1496,Ukraine,1966,45684979
1497,Uruguay,1966,2722875
1498,United States,1966,196560000
1499,Uzbekistan,1966,10493436
1500,St. Vincent and the Grenadines,1966,86903
1501,"Venezuela, RB",1966,10022592
1502,British Virgin Islands,1966,9025
1503,Virgin Islands (U.S.),1966,46200
1504,Vietnam,1966,38958048
1505,Vanuatu,1966,76395
1506,Samoa,1966,130673
1507,Kosovo,1966,1106000
1508,"Yemen, Rep.",1966,5816247
1509,South Africa,1966,19888250
1510,Zambia,1966,3681955
1511,Zimbabwe,1966,4623351
