,Country Name,Year,Count
1728,Aruba,1968,58386
1729,Afghanistan,1968,10637063
1730,Angola,1968,5771652
1731,Albania,1968,2022272
1732,Andorra,1968,21890
1733,United Arab Emirates,1968,182627
1734,Argentina,1968,23168267
1735,Armenia,1968,2401143
1736,American Samoa,1968,25989
1737,Antigua and Barbuda,1968,62521
1738,Australia,1968,12009000
1739,Austria,1968,7415403
1740,Azerbaijan,1968,4960232
1741,Burundi,1968,3336927
1742,Belgium,1968,9618756
1743,Benin,1968,2791590
1744,Burkina Faso,1968,5434041
1745,Bangladesh,1968,60918454
1746,Bulgaria,1968,8369603
1747,Bahrain,1968,200653
1748,"Bahamas, The",1968,158648
1749,Bosnia and Herzegovina,1968,3675454
1750,Belarus,1968,8874552
1751,Belize,1968,116061
1752,Bermuda,1968,53000
1753,Bolivia,1968,4297517
1754,Brazil,1968,90387079
1755,Barbados,1968,237241
1756,Brunei Darussalam,1968,117898
1757,Bhutan,1968,278734
1758,Botswana,1968,596947
1759,Central African Republic,1968,1744194
1760,Canada,1968,20744000
1761,Switzerland,1968,6067714
1762,Channel Islands,1968,118726
1763,Chile,1968,9468845
1764,China,1968,774510000
1765,Cote d'Ivoire,1968,4713135
1766,Cameroon,1968,6201413
1767,"Congo, Dem. Rep.",1968,18913878
1768,"Congo, Rep.",1968,1253760
1769,Colombia,1968,20393699
1770,Comoros,1968,220575
1771,Cabo Verde,1968,256176
1772,Costa Rica,1968,1747694
1773,Caribbean small states,1968,4773902
1774,Cuba,1968,8413552
1775,Curacao,1968,140298
1776,Cayman Islands,1968,8631
1777,Cyprus,1968,598495
1778,Czech Republic,1968,9876346
1779,Germany,1968,77294314
1780,Djibouti,1968,140462
1781,Dominica,1968,69040
1782,Denmark,1968,4864883
1783,Dominican Republic,1968,4247558
1784,Algeria,1968,13663583
1785,Ecuador,1968,5725459
1786,"Egypt, Arab Rep.",1968,32881848
1787,Eritrea,1968,1242635
1788,Spain,1968,33113134
1789,Estonia,1968,1331214
1790,Ethiopia,1968,26944390
1791,Finland,1968,4626469
1792,Fiji,1968,498940
1793,France,1968,51175508
1794,Faroe Islands,1968,38124
1795,"Micronesia, Fed. Sts.",1968,58388
1796,Gabon,1968,565766
1797,United Kingdom,1968,55211700
1798,Georgia,1968,4042300
1799,Ghana,1968,8321770
1800,Gibraltar,1968,27685
1801,Guinea,1968,4013055
1802,"Gambia, The",1968,438603
1803,Guinea-Bissau,1968,680432
1804,Equatorial Guinea,1968,299413
1805,Greece,1968,8740765
