,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
9842,Aruba,ABW,1997,1531843575.0,17926.78263
9843,Africa Eastern and Southern,AFE,1997,282185000000.0,765.8900614
9844,Afghanistan,AFG,1997,,
9845,Africa Western and Central,AFW,1997,127064000000.0,515.2345409
9846,Angola,AGO,1997,7648377413.0,514.2951541
9847,Albania,ALB,1997,2258513974.0,717.3800477
9848,Andorra,AND,1997,1180597273.0,18355.62786
9849,Arab World,ARB,1997,662320000000.0,2501.000175
9850,United Arab Emirates,ARE,1997,78839008445.0,29512.67479
9851,Argentina,ARG,1997,292859000000.0,8213.125127
9852,Armenia,ARM,1997,1639492445.0,523.2844107
9853,American Samoa,ASM,1997,,
9854,Antigua and Barbuda,ATG,1997,680618518.5,9491.660766
9855,Australia,AUS,1997,435324000000.0,23509.42347
9856,Austria,AUT,1997,212790000000.0,26705.4786
9857,Azerbaijan,AZE,1997,3962238113.0,505.5003493
9858,Burundi,BDI,1997,972896267.9,158.9146699
9859,Belgium,BEL,1997,252708000000.0,24820.93805
9860,Benin,BEN,1997,2268301538.0,361.0999824
9861,Burkina Faso,BFA,1997,2447668985.0,229.4929493
9862,Bangladesh,BGD,1997,48244309133.0,401.4986674
9863,Bulgaria,BGR,1997,11315986087.0,1361.392386
9864,Bahrain,BHR,1997,6349202394.0,10672.23776
9865,"Bahamas, The",BHS,1997,6332360000.0,22036.10068
9866,Bosnia and Herzegovina,BIH,1997,3671816504.0,982.8018491
9867,Belarus,BLR,1997,14128408566.0,1396.442019
9868,Belize,BLZ,1997,654582900.0,2954.227237
9869,Bermuda,BMU,1997,2932827000.0,48478.88325
9870,Bolivia,BOL,1997,7925673467.0,998.5159556
9871,Brazil,BRA,1997,883206000000.0,5282.04947
9872,Barbados,BRB,1997,2498384130.0,9315.967566
9873,Brunei Darussalam,BRN,1997,5197332974.0,16660.14763
9874,Bhutan,BTN,1997,352260952.9,638.4858666
9875,Botswana,BWA,1997,5020214747.0,3258.982428
9876,Central African Republic,CAF,1997,937741468.0,276.4215961
9877,Canada,CAN,1997,654987000000.0,21901.56285
9878,Central Europe and the Baltics,CEB,1997,410087000000.0,3747.756715
9879,Switzerland,CHE,1997,295121000000.0,41631.43886
9880,Channel Islands,CHI,1997,,
9881,Chile,CHL,1997,85728899954.0,5797.888802
9882,China,CHN,1997,961604000000.0,781.7441643
9883,Cote d'Ivoire,CIV,1997,18047557172.0,1192.779461
9884,Cameroon,CMR,1997,10789457915.0,752.1698237
9885,"Congo, Dem. Rep.",COD,1997,6090840548.0,138.9740115
9886,"Congo, Rep.",COG,1997,2322719101.0,810.0766828
9887,Colombia,COL,1997,106660000000.0,2827.379527
9888,Comoros,COM,1997,364445589.7,726.0523149
9889,Cabo Verde,CPV,1997,490608657.9,1213.632864
9890,Costa Rica,CRI,1997,12614602382.0,3391.977735
9891,Caribbean small states,CSS,1997,28202808369.0,4421.507074
9892,Cuba,CUB,1997,25365908100.0,2308.146615
9893,Curacao,CUW,1997,,
9894,Cayman Islands,CYM,1997,,
9895,Cyprus,CYP,1997,9547818700.0,14234.24414
9896,Czech Republic,CZE,1997,62180159376.0,6034.488437
9897,Germany,DEU,1997,2211990000000.0,26964.04947
9898,Djibouti,DJI,1997,502675542.0,760.6407761
9899,Dominica,DMA,1997,302988888.9,4292.11368
9900,Denmark,DNK,1997,173538000000.0,32835.93994
9901,Dominican Republic,DOM,1997,20017480055.0,2476.060403
9902,Algeria,DZA,1997,48177612042.0,1619.797749
9903,East Asia & Pacific (excluding high income),EAP,1997,1572050000000.0,893.3272424
9904,Early-demographic dividend,EAR,1997,2980540000000.0,1274.07238
9905,East Asia & Pacific,EAS,1997,7742870000000.0,3896.145644
9906,Europe & Central Asia (excluding high income),ECA,1997,761370000000.0,2064.824816
