,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
2128,Aruba,ABW,1968,,
2129,Africa Eastern and Southern,AFE,1968,36521482937.0,226.6213203
2130,Afghanistan,AFG,1968,1373333367.0,129.108311
2131,Africa Western and Central,AFW,1968,14880349280.0,129.6410925
2132,Angola,AGO,1968,,
2133,Albania,ALB,1968,,
2134,Andorra,AND,1968,,
2135,Arab World,ARB,1968,35019874408.0,304.1605183
2136,United Arab Emirates,ARE,1968,,
2137,Argentina,ARG,1968,26436857247.0,1141.080432
2138,Armenia,ARM,1968,,
2139,American Samoa,ASM,1968,,
2140,Antigua and Barbuda,ATG,1968,,
2141,Australia,AUS,1968,32716989584.0,2724.372519
2142,Austria,AUT,1968,12440625313.0,1677.673528
2143,Azerbaijan,AZE,1968,,
2144,Burundi,BDI,1968,183200000.0,54.90076208
2145,Belgium,BEL,1968,21376353113.0,2222.361511
2146,Benin,BEN,1968,326323097.4,116.8951498
2147,Burkina Faso,BFA,1968,460442678.2,84.73293716
2148,Bangladesh,BGD,1968,7483685474.0,122.8475975
2149,Bulgaria,BGR,1968,,
2150,Bahrain,BHR,1968,,
2151,"Bahamas, The",BHS,1968,444901960.8,2804.333876
2152,Bosnia and Herzegovina,BIH,1968,,
2153,Belarus,BLR,1968,,
2154,Belize,BLZ,1968,44910179.64,386.9399013
2155,Bermuda,BMU,1968,150000000.0,2830.188679
2156,Bolivia,BOL,1968,857912457.9,199.6295674
2157,Brazil,BRA,1968,33930457425.0,375.3905735
2158,Barbados,BRB,1968,,
2159,Brunei Darussalam,BRN,1968,160819286.6,1364.065978
2160,Bhutan,BTN,1968,,
2161,Botswana,BWA,1968,66248256.62,110.9786423
2162,Central African Republic,CAF,1968,191767437.0,109.9459104
2163,Canada,CAN,1968,71829810520.0,3462.678872
2164,Central Europe and the Baltics,CEB,1968,,
2165,Switzerland,CHE,1968,18942729779.0,3121.889031
2166,Channel Islands,CHI,1968,,
2167,Chile,CHL,1968,7167086957.0,756.9120009
2168,China,CHN,1968,70846535056.0,91.47271831
2169,Cote d'Ivoire,CIV,1968,1281281246.0,271.8533455
2170,Cameroon,CMR,1968,1046191192.0,168.7021488
2171,"Congo, Dem. Rep.",COD,1968,3909780539.0,206.7149511
2172,"Congo, Rep.",COG,1968,251247458.0,200.3950179
2173,Colombia,COL,1968,5960212869.0,292.2574962
2174,Comoros,COM,1968,,
2175,Cabo Verde,CPV,1968,,
2176,Costa Rica,CRI,1968,773841494.3,442.7796087
2177,Caribbean small states,CSS,1968,3083590687.0,645.9283073
2178,Cuba,CUB,1968,,
2179,Curacao,CUW,1968,,
2180,Cayman Islands,CYM,1968,,
2181,Cyprus,CYP,1968,,
2182,Czech Republic,CZE,1968,,
2183,Germany,DEU,1968,,
2184,Djibouti,DJI,1968,,
2185,Dominica,DMA,1968,,
2186,Denmark,DNK,1968,13505573867.0,2776.13539
2187,Dominican Republic,DOM,1968,1079100000.0,254.0517978
2188,Algeria,DZA,1968,3852115817.0,281.9257863
2189,East Asia & Pacific (excluding high income),EAP,1968,102279000000.0,96.68477282
2190,Early-demographic dividend,EAR,1968,242318000000.0,204.0614813
2191,East Asia & Pacific,EAS,1968,301156000000.0,245.945847
2192,Europe & Central Asia (excluding high income),ECA,1968,,
2193,Europe & Central Asia,ECS,1968,832994000000.0,1147.809182
2194,Ecuador,ECU,1968,2582180794.0,450.9995515
2195,"Egypt, Arab Rep.",EGY,1968,5932242991.0,180.4108537
2196,Euro area,EMU,1968,518992000000.0,1828.295178
2197,Eritrea,ERI,1968,,
2198,Spain,ESP,1968,31475548481.0,950.5457406
2199,Estonia,EST,1968,,
2200,Ethiopia,ETH,1968,,
2201,European Union,EUU,1968,,
2202,Fragile and conflict affected situations,FCS,1968,40329060337.0,138.5318988
2203,Finland,FIN,1968,8823033880.0,1907.077272
2204,Fiji,FJI,1968,166952937.1,334.612576
2205,France,FRA,1968,129785000000.0,2536.085114
2206,Faroe Islands,FRO,1968,,
2207,"Micronesia, Fed. Sts.",FSM,1968,,
2208,Gabon,GAB,1968,294468564.5,520.4804212
2209,United Kingdom,GBR,1968,107760000000.0,1951.758596
2210,Georgia,GEO,1968,,
2211,Ghana,GHA,1968,1666910166.0,200.307094
2212,Gibraltar,GIB,1968,,
2213,Guinea,GIN,1968,,
2214,"Gambia, The",GMB,1968,41160658.57,93.84769049
2215,Guinea-Bissau,GNB,1968,,
2216,Equatorial Guinea,GNQ,1968,67514285.71,225.4865662
