,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
4256,Aruba,ABW,1976,,
4257,Africa Eastern and Southern,AFE,1976,91124551926.0,450.6525888
4258,Afghanistan,AFG,1976,2555555567.0,197.4455076
4259,Africa Western and Central,AFW,1976,62129390375.0,444.3743742
4260,Angola,AGO,1976,,
4261,Albania,ALB,1976,,
4262,Andorra,AND,1976,227281024.6,7151.249909
4263,Arab World,ARB,1976,196560000000.0,1360.714749
4264,United Arab Emirates,ARE,1976,19213022691.0,30117.94893
4265,Argentina,ARG,1976,51169499892.0,1948.224686
4266,Armenia,ARM,1976,,
4267,American Samoa,ASM,1976,,
4268,Antigua and Barbuda,ATG,1976,,
4269,Australia,AUS,1976,105101000000.0,7489.59416
4270,Austria,AUT,1976,42959976222.0,5678.386658
4271,Azerbaijan,AZE,1976,,
4272,Burundi,BDI,1976,448412753.6,118.9149331
4273,Belgium,BEL,1976,71113882968.0,7243.047341
4274,Benin,BEN,1976,698408244.4,208.6564032
4275,Burkina Faso,BFA,1976,976547163.5,155.6490569
4276,Bangladesh,BGD,1976,10117113333.0,141.1971589
4277,Bulgaria,BGR,1976,,
4278,Bahrain,BHR,1976,,
4279,"Bahamas, The",BHS,1976,642100000.0,3328.615937
4280,Bosnia and Herzegovina,BIH,1976,,
4281,Belarus,BLR,1976,,
4282,Belize,BLZ,1976,96905829.6,717.061406
4283,Bermuda,BMU,1976,386300000.0,7261.278195
4284,Bolivia,BOL,1976,2731984008.0,534.2732859
4285,Brazil,BRA,1976,153169000000.0,1395.096399
4286,Barbados,BRB,1976,435911268.6,1760.660094
4287,Brunei Darussalam,BRN,1976,1423061357.0,8461.889582
4288,Bhutan,BTN,1976,,
4289,Botswana,BWA,1976,372010119.6,483.1413197
4290,Central African Republic,CAF,1976,451152450.0,225.9131745
4291,Canada,CAN,1976,206576000000.0,8809.26466
4292,Central Europe and the Baltics,CEB,1976,,
4293,Switzerland,CHE,1976,,
4294,Channel Islands,CHI,1976,,
4295,Chile,CHL,1976,10341925249.0,961.424604
4296,China,CHN,1976,153940000000.0,165.4055404
4297,Cote d'Ivoire,CIV,1976,4662053708.0,694.3832471
4298,Cameroon,CMR,1976,2898089929.0,378.1236216
4299,"Congo, Dem. Rep.",COD,1976,9648583225.0,409.5242253
4300,"Congo, Rep.",COG,1976,754549600.5,476.8504788
4301,Colombia,COL,1976,15341403660.0,623.4289691
4302,Comoros,COM,1976,,
4303,Cabo Verde,CPV,1976,,
4304,Costa Rica,CRI,1976,2412555426.0,1122.807632
4305,Caribbean small states,CSS,1976,7932122921.0,1511.874938
4306,Cuba,CUB,1976,13789579903.0,1443.302433
4307,Curacao,CUW,1976,,
4308,Cayman Islands,CYM,1976,,
4309,Cyprus,CYP,1976,576090073.7,1157.411621
4310,Czech Republic,CZE,1976,,
4311,Germany,DEU,1976,519754000000.0,6634.856899
4312,Djibouti,DJI,1976,,
4313,Dominica,DMA,1976,,
4314,Denmark,DNK,1976,44575892473.0,8787.589722
4315,Dominican Republic,DOM,1976,3951500000.0,748.9906207
4316,Algeria,DZA,1976,17728347375.0,1037.60716
4317,East Asia & Pacific (excluding high income),EAP,1976,252692000000.0,197.7553869
4318,Early-demographic dividend,EAR,1976,710183000000.0,492.2044971
4319,East Asia & Pacific,EAS,1976,1028710000000.0,700.9623314
4320,Europe & Central Asia (excluding high income),ECA,1976,,
4321,Europe & Central Asia,ECS,1976,2400130000000.0,3108.449774
4322,Ecuador,ECU,1976,9091924305.0,1264.911641
4323,"Egypt, Arab Rep.",EGY,1976,13315988083.0,337.7743689
4324,Euro area,EMU,1976,1567500000000.0,5273.29664
4325,Eritrea,ERI,1976,,
4326,Spain,ESP,1976,118507000000.0,3279.312671
4327,Estonia,EST,1976,,
4328,Ethiopia,ETH,1976,,
4329,European Union,EUU,1976,1770050000000.0,4419.903557
4330,Fragile and conflict affected situations,FCS,1976,153399000000.0,438.891008
4331,Finland,FIN,1976,31849513771.0,6739.690713
4332,Fiji,FJI,1976,694552411.7,1182.094134
4333,France,FRA,1976,372319000000.0,6866.816892
4334,Faroe Islands,FRO,1976,,
4335,"Micronesia, Fed. Sts.",FSM,1976,,
4336,Gabon,GAB,1976,3009409971.0,4550.074193
4337,United Kingdom,GBR,1976,232615000000.0,4138.167788
4338,Georgia,GEO,1976,,
4339,Ghana,GHA,1976,2765254237.0,271.1255783
4340,Gibraltar,GIB,1976,,
4341,Guinea,GIN,1976,,
4342,"Gambia, The",GMB,1976,112189468.5,201.1248785
4343,Guinea-Bissau,GNB,1976,112386489.0,145.8778567
4344,Equatorial Guinea,GNQ,1976,103653049.9,418.0080975
4345,Greece,GRC,1976,31152835821.0,3390.544976
4346,Grenada,GRD,1976,,
4347,Greenland,GRL,1976,240780413.6,4844.676329
4348,Guatemala,GTM,1976,4365300200.0,696.2220153
4349,Guam,GUM,1976,,
4350,Guyana,GUY,1976,454440000.0,602.6248473
4351,High income,HIC,1976,5112770000000.0,5526.948158
4352,"Hong Kong SAR, China",HKG,1976,12876366009.0,2850.01461
4353,Honduras,HND,1976,1347999950.0,414.6231405
4354,Heavily indebted poor countries (HIPC),HPC,1976,67284966319.0,276.2212024
4355,Croatia,HRV,1976,,
4356,Haiti,HTI,1976,879000000.0,169.3107588
4357,Hungary,HUN,1976,,
