,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
10108,Aruba,ABW,1998,1665363128.0,19080.69579
10109,Africa Eastern and Southern,AFE,1998,265814000000.0,703.0288889
10110,Afghanistan,AFG,1998,,
10111,Africa Western and Central,AFW,1998,130107000000.0,513.6424638
10112,Angola,AGO,1998,6506229607.0,423.5936878
10113,Albania,ALB,1998,2545964541.0,813.7893966
10114,Andorra,AND,1998,1211932398.0,18895.11066
10115,Arab World,ARB,1998,644497000000.0,2381.946705
10116,United Arab Emirates,ARE,1998,75674336283.0,26899.60177
10117,Argentina,ARG,1998,298948000000.0,8289.507568
10118,Armenia,ARM,1998,1893726437.0,609.1716537
10119,American Samoa,ASM,1998,,
10120,Antigua and Barbuda,ATG,1998,727859259.3,9940.852228
10121,Australia,AUS,1998,399404000000.0,21345.97099
10122,Austria,AUT,1998,218260000000.0,27361.87511
10123,Azerbaijan,AZE,1998,4446368571.0,561.9068079
10124,Burundi,BDI,1998,893770806.1,144.4930173
10125,Belgium,BEL,1998,258528000000.0,25338.44329
10126,Benin,BEN,1998,2455092582.0,379.4417675
10127,Burkina Faso,BFA,1998,2804902248.0,255.7182367
10128,Bangladesh,BGD,1998,49984559471.0,407.4291762
10129,Bulgaria,BGR,1998,15030695297.0,1820.405094
10130,Bahrain,BHR,1998,6183776596.0,10076.26988
10131,"Bahamas, The",BHS,1998,6833220000.0,23514.17756
10132,Bosnia and Herzegovina,BIH,1998,4116699437.0,1102.390688
10133,Belarus,BLR,1998,15222012660.0,1511.325316
10134,Belize,BLZ,1998,689140000.0,2993.033599
10135,Bermuda,BMU,1998,3130748000.0,51371.74081
10136,Bolivia,BOL,1998,8497545544.0,1049.499367
10137,Brazil,BRA,1998,863711000000.0,5087.079072
10138,Barbados,BRB,1998,2817083478.0,10459.44247
10139,Brunei Darussalam,BRN,1998,4051147228.0,12694.14896
10140,Bhutan,BTN,1998,363452787.2,643.9882263
10141,Botswana,BWA,1998,4790458837.0,3039.964944
10142,Central African Republic,CAF,1998,967338348.7,278.3319015
10143,Canada,CAN,1998,634000000000.0,21024.58507
10144,Central Europe and the Baltics,CEB,1998,448800000000.0,4108.446136
10145,Switzerland,CHE,1998,303882000000.0,42740.12818
10146,Channel Islands,CHI,1998,5945445051.0,40583.24267
10147,Chile,CHL,1998,81995304456.0,5474.479217
10148,China,CHN,1998,1029040000000.0,828.5804793
10149,Cote d'Ivoire,CIV,1998,19619653924.0,1258.52471
10150,Cameroon,CMR,1998,11298144512.0,767.3403603
10151,"Congo, Dem. Rep.",COD,1998,6217806273.0,138.6356903
10152,"Congo, Rep.",COG,1998,1949481381.0,660.4715058
10153,Colombia,COL,1998,98443739941.0,2566.024194
10154,Comoros,COM,1998,370106776.0,718.1212694
10155,Cabo Verde,CPV,1998,521910560.5,1265.19785
10156,Costa Rica,CRI,1998,13684255947.0,3597.434509
10157,Caribbean small states,CSS,1998,30129171334.0,4690.20395
10158,Cuba,CUB,1998,25736331200.0,2331.462691
10159,Curacao,CUW,1998,,
10160,Cayman Islands,CYM,1998,,
10161,Cyprus,CYP,1998,10248617647.0,15092.82617
10162,Czech Republic,CZE,1998,66807429711.0,6489.703619
10163,Germany,DEU,1998,2238990000000.0,27289.05936
10164,Djibouti,DJI,1998,514267869.3,755.7594723
10165,Dominica,DMA,1998,322411111.1,4593.863345
10166,Denmark,DNK,1998,176992000000.0,33368.14242
10167,Dominican Republic,DOM,1998,21672231761.0,2638.31327
10168,Algeria,DZA,1998,48187747529.0,1596.003926
10169,East Asia & Pacific (excluding high income),EAP,1998,1431780000000.0,804.4601068
10170,Early-demographic dividend,EAR,1998,2938540000000.0,1232.541674
10171,East Asia & Pacific,EAS,1998,6928210000000.0,3449.090162
10172,Europe & Central Asia (excluding high income),ECA,1998,705517000000.0,1911.877896
10173,Europe & Central Asia,ECS,1998,10794700000000.0,12562.2222
10174,Ecuador,ECU,1998,27981896948.0,2293.889735
10175,"Egypt, Arab Rep.",EGY,1998,84828807556.0,1281.396914
10176,Euro area,EMU,1998,7149270000000.0,22381.04798
10177,Eritrea,ERI,1998,745526154.9,337.8865923
10178,Spain,ESP,1998,619215000000.0,15394.35146
10179,Estonia,EST,1998,5674080543.0,4093.392477
