,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
15960,Aruba,ABW,2020,2496648045.0,23384.29879
15961,Africa Eastern and Southern,AFE,2020,921646000000.0,1360.878645
15962,Afghanistan,AFG,2020,20116137326.0,516.7478708
15963,Africa Western and Central,AFW,2020,784446000000.0,1709.764129
15964,Angola,AGO,2020,53619071176.0,1631.431691
15965,Albania,ALB,2020,15131866271.0,5332.160475
15966,Andorra,AND,2020,2891001149.0,37416.69772
15967,Arab World,ARB,2020,2496250000000.0,5724.28687
15968,United Arab Emirates,ARE,2020,358869000000.0,36284.55524
15969,Argentina,ARG,2020,389591000000.0,8585.694742
15970,Armenia,ARM,2020,12641209802.0,4266.018074
15971,American Samoa,ASM,2020,709000000.0,12844.90099
15972,Antigua and Barbuda,ATG,2020,1370281481.0,13992.74448
15973,Australia,AUS,2020,1327840000000.0,51680.31652
15974,Austria,AUT,2020,433258000000.0,48588.65938
15975,Azerbaijan,AZE,2020,42693000000.0,4229.910649
15976,Burundi,BDI,2020,2780510625.0,233.8375103
15977,Belgium,BEL,2020,521677000000.0,45189.3669
15978,Benin,BEN,2020,15651545332.0,1291.040972
15979,Burkina Faso,BFA,2020,17933606353.0,857.9327297
15980,Bangladesh,BGD,2020,373902000000.0,2270.347535
15981,Bulgaria,BGR,2020,69889347433.0,10079.20338
15982,Bahrain,BHR,2020,34723357447.0,20406.50233
15983,"Bahamas, The",BHS,2020,9699500000.0,24665.09683
15984,Bosnia and Herzegovina,BIH,2020,19955120005.0,6082.36673
15985,Belarus,BLR,2020,61489588895.0,6555.426818
15986,Belize,BLZ,2020,1585631670.0,3987.796596
15987,Bermuda,BMU,2020,6881662000.0,107706.0398
15988,Bolivia,BOL,2020,36629843806.0,3137.989617
15989,Brazil,BRA,2020,1448570000000.0,6814.875632
15990,Barbados,BRB,2020,4689534962.0,16318.74811
15991,Brunei Darussalam,BRN,2020,12005825770.0,27442.95383
15992,Bhutan,BTN,2020,2315436303.0,3000.777986
15993,Botswana,BWA,2020,14930072799.0,6348.832318
15994,Central African Republic,CAF,2020,2326720921.0,481.7462966
15995,Canada,CAN,2020,1645420000000.0,43258.26387
15996,Central Europe and the Baltics,CEB,2020,1654920000000.0,16197.29935
15997,Switzerland,CHE,2020,752248000000.0,87100.41482
15998,Channel Islands,CHI,2020,,
15999,Chile,CHL,2020,252727000000.0,13220.57076
16000,China,CHN,2020,14687700000000.0,10408.66976
16001,Cote d'Ivoire,CIV,2020,61348579465.0,2325.723705
16002,Cameroon,CMR,2020,40804449726.0,1537.130218
16003,"Congo, Dem. Rep.",COD,2020,48716960860.0,543.9503925
16004,"Congo, Rep.",COG,2020,10483151094.0,1899.778237
16005,Colombia,COL,2020,270300000000.0,5312.198556
16006,Comoros,COM,2020,1223876065.0,1407.40927
16007,Cabo Verde,CPV,2020,1703698677.0,3064.272388
16008,Costa Rica,CRI,2020,62158002233.0,12201.92603
16009,Caribbean small states,CSS,2020,65922853041.0,8857.870922
16010,Cuba,CUB,2020,107352000000.0,9477.852873
16011,Curacao,CUW,2020,2496174736.0,16109.86167
16012,Cayman Islands,CYM,2020,5608989196.0,85346.76195
16013,Cyprus,CYP,2020,24692095945.0,27681.56641
16014,Czech Republic,CZE,2020,245339000000.0,22933.49959
16015,Germany,DEU,2020,3846410000000.0,46252.6893
16016,Djibouti,DJI,2020,3181071154.0,3219.701128
16017,Dominica,DMA,2020,504214814.8,7003.859021
16018,Denmark,DNK,2020,356085000000.0,61063.31643
16019,Dominican Republic,DOM,2020,78844702329.0,7268.19691
16020,Algeria,DZA,2020,145009000000.0,3306.858208
16021,East Asia & Pacific (excluding high income),EAP,2020,17483800000000.0,8270.455138
16022,Early-demographic dividend,EAR,2020,10841700000000.0,3253.713456
16023,East Asia & Pacific,EAS,2020,27118700000000.0,11483.59931
16024,Europe & Central Asia (excluding high income),ECA,2020,2980730000000.0,7435.160748
16025,Europe & Central Asia,ECS,2020,22133900000000.0,23981.02201
16026,Ecuador,ECU,2020,99291124000.0,5627.77228
16027,"Egypt, Arab Rep.",EGY,2020,365253000000.0,3569.206841
16028,Euro area,EMU,2020,13027300000000.0,38012.66729
16029,Eritrea,ERI,2020,,
16030,Spain,ESP,2020,1281480000000.0,27056.42175
16031,Estonia,EST,2020,30650285472.0,23054.35849
16032,Ethiopia,ETH,2020,107658000000.0,936.4507576
16033,European Union,EUU,2020,15300100000000.0,34191.82825
16034,Fragile and conflict affected situations,FCS,2020,1561510000000.0,1624.943028
16035,Finland,FIN,2020,271837000000.0,49160.83715
16036,Fiji,FJI,2020,4574413823.0,5102.843929
16037,France,FRA,2020,2630320000000.0,39037.12263
16038,Faroe Islands,FRO,2020,3240759989.0,66320.6792
16039,"Micronesia, Fed. Sts.",FSM,2020,407515928.0,3542.969788
16040,Gabon,GAB,2020,15316824039.0,6881.714225
16041,United Kingdom,GBR,2020,2756900000000.0,41098.07865
16042,Georgia,GEO,2020,15842922533.0,4255.742993
16043,Ghana,GHA,2020,70043199814.0,2254.153889
16044,Gibraltar,GIB,2020,,
16045,Guinea,GIN,2020,14169626010.0,1078.950006
16046,"Gambia, The",GMB,2020,1830413000.0,757.4131116
16047,Guinea-Bissau,GNB,2020,1431758243.0,727.5201717
16048,Equatorial Guinea,GNQ,2020,10099157270.0,7198.335884
16049,Greece,GRC,2020,188835000000.0,17647.23269
16050,Grenada,GRD,2020,1043411111.0,9273.199292
16051,Greenland,GRL,2020,3075968329.0,54570.37502
16052,Guatemala,GTM,2020,77604632621.0,4603.339643
16053,Guam,GUM,2020,5844000000.0,34624.34013
16054,Guyana,GUY,2020,5471256595.0,6955.939217
16055,High income,HIC,2020,53699800000000.0,43282.42346
16056,"Hong Kong SAR, China",HKG,2020,344881000000.0,46100.97587
16057,Honduras,HND,2020,23827840810.0,2405.732848
16058,Heavily indebted poor countries (HIPC),HPC,2020,803284000000.0,975.4742618
16059,Croatia,HRV,2020,57203783203.0,14132.48656
16060,Haiti,HTI,2020,14508218017.0,1272.367992
16061,Hungary,HUN,2020,156743000000.0,16075.97327
16062,IBRD only,IBD,2020,30032400000000.0,6176.40377
16063,IDA & IBRD total,IBT,2020,32364900000000.0,4925.381242
16064,IDA total,IDA,2020,2332330000000.0,1365.047843
16065,IDA blend,IDB,2020,999384000000.0,1740.603808
16066,Indonesia,IDN,2020,1058690000000.0,3870.55762
16067,IDA only,IDX,2020,1333640000000.0,1175.586605
16068,Isle of Man,IMN,2020,,
16069,India,IND,2020,2667690000000.0,1933.101069
16070,Not classified,INX,2020,,
16071,Ireland,IRL,2020,425889000000.0,85422.54287
16072,"Iran, Islamic Rep.",IRN,2020,231548000000.0,2756.749977
16073,Iraq,IRQ,2020,184370000000.0,4583.747494
16074,Iceland,ISL,2020,21718075725.0,59264.03409
16075,Israel,ISR,2020,407101000000.0,44177.57122
16076,Italy,ITA,2020,1892570000000.0,31834.97262
16077,Jamaica,JAM,2020,13812425037.0,4664.530242
16078,Jordan,JOR,2020,43697659296.0,4282.765825
16079,Japan,JPN,2020,5040110000000.0,39918.16756
16080,Kazakhstan,KAZ,2020,171082000000.0,9121.637138
16081,Kenya,KEN,2020,100667000000.0,1872.124026
16082,Kyrgyz Republic,KGZ,2020,7780874537.0,1182.5217
16083,Cambodia,KHM,2020,25872798012.0,1547.511388
16084,Kiribati,KIR,2020,180911843.6,1514.591059
16085,St. Kitts and Nevis,KNA,2020,980905888.9,18440.85368
16086,"Korea, Rep.",KOR,2020,1637900000000.0,31597.50465
16087,Kuwait,KWT,2020,105960000000.0,24811.76971
16088,Latin America & Caribbean (excluding high income),LAC,2020,3997940000000.0,6765.532776
16089,Lao PDR,LAO,2020,18981800705.0,2608.982833
16090,Lebanon,LBN,2020,25948915861.0,3801.792743
16091,Liberia,LBR,2020,3039982540.0,601.0630058
16092,Libya,LBY,2020,52320215472.0,7614.325449
16093,St. Lucia,LCA,2020,1616772748.0,8804.561089
16094,Latin America & Caribbean,LCN,2020,4743150000000.0,7270.703584
