,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
11970,Aruba,ABW,2005,2359776536.0,23591.15984
11971,Africa Eastern and Southern,AFE,2005,512211000000.0,1129.701204
11972,Afghanistan,AFG,2005,6209137625.0,242.0313132
11973,Africa Western and Central,AFW,2005,310558000000.0,1016.486438
11974,Angola,AGO,2005,36970918699.0,1902.42215
11975,Albania,ALB,2005,8052073539.0,2673.786584
11976,Andorra,AND,2005,3159905484.0,40064.22493
11977,Arab World,ARB,2005,1297900000000.0,4120.758814
11978,United Arab Emirates,ARE,2005,180617000000.0,39365.45964
11979,Argentina,ARG,2005,198737000000.0,5109.852245
11980,Armenia,ARM,2005,4900469950.0,1643.756889
11981,American Samoa,ASM,2005,500000000.0,8395.31877
11982,Antigua and Barbuda,ATG,2005,1022962963.0,12557.54785
11983,Australia,AUS,2005,695075000000.0,34080.9999
11984,Austria,AUT,2005,316092000000.0,38417.45779
11985,Azerbaijan,AZE,2005,13245716099.0,1578.40239
11986,Burundi,BDI,2005,1117113046.0,151.6815663
11987,Belgium,BEL,2005,385715000000.0,36809.70134
11988,Benin,BEN,2005,6567654494.0,822.7851431
11989,Burkina Faso,BFA,2005,6146352742.0,457.9334308
11990,Bangladesh,BGD,2005,69442943089.0,499.4619402
11991,Bulgaria,BGR,2005,29869283400.0,3899.907638
11992,Bahrain,BHR,2005,15968723404.0,17959.39683
11993,"Bahamas, The",BHS,2005,9836200000.0,30279.39221
11994,Bosnia and Herzegovina,BIH,2005,11222953329.0,2980.601267
11995,Belarus,BLR,2005,30207567317.0,3125.810535
11996,Belize,BLZ,2005,1111453824.0,3916.355378
11997,Bermuda,BMU,2005,4868136000.0,75882.03386
11998,Bolivia,BOL,2005,9549077919.0,1034.311806
11999,Brazil,BRA,2005,891634000000.0,4790.456566
12000,Barbados,BRB,2005,3819500000.0,13822.74175
12001,Brunei Darussalam,BRN,2005,9531402848.0,26105.42203
12002,Bhutan,BTN,2005,796938120.2,1228.432356
12003,Botswana,BWA,2005,9918907108.0,5513.331063
12004,Central African Republic,CAF,2005,1337894380.0,331.2948211
12005,Canada,CAN,2005,1173110000000.0,36382.50792
12006,Central Europe and the Baltics,CEB,2005,886850000000.0,8363.201593
12007,Switzerland,CHE,2005,420545000000.0,56546.78566
12008,Channel Islands,CHI,2005,8827299477.0,58199.16055
12009,Chile,CHL,2005,122315000000.0,7558.371754
12010,China,CHN,2005,2285970000000.0,1753.417829
12011,Cote d'Ivoire,CIV,2005,24036917017.0,1309.591653
12012,Cameroon,CMR,2005,19509850837.0,1100.174926
12013,"Congo, Dem. Rep.",COD,2005,11964484668.0,218.3862267
12014,"Congo, Rep.",COG,2005,6650001685.0,1835.609908
12015,Colombia,COL,2005,145619000000.0,3414.465158
12016,Comoros,COM,2005,653845122.9,1069.029426
12017,Cabo Verde,CPV,2005,971977088.2,2099.148417
12018,Costa Rica,CRI,2005,20040642477.0,4676.379366
12019,Caribbean small states,CSS,2005,48957056297.0,7260.795899
12020,Cuba,CUB,2005,42643836100.0,3786.66345
12021,Curacao,CUW,2005,,
12022,Cayman Islands,CYM,2005,,
12023,Cyprus,CYP,2005,18433411267.0,24959.25977
12024,Czech Republic,CZE,2005,137143000000.0,13430.6699
12025,Germany,DEU,2005,2846860000000.0,34520.23965
12026,Djibouti,DJI,2005,708633194.7,904.7366795
12027,Dominica,DMA,2005,364255555.6,5160.889141
12028,Denmark,DNK,2005,264467000000.0,48799.8256
12029,Dominican Republic,DOM,2005,35777570136.0,3932.784407
12030,Algeria,DZA,2005,103198000000.0,3113.094883
12031,East Asia & Pacific (excluding high income),EAP,2005,3106910000000.0,1639.275634
12032,Early-demographic dividend,EAR,2005,4927150000000.0,1831.795518
12033,East Asia & Pacific,EAS,2005,10406000000000.0,4882.835544
12034,Europe & Central Asia (excluding high income),ECA,2005,1589620000000.0,4289.200933
12035,Europe & Central Asia,ECS,2005,16784500000000.0,19260.78447
12036,Ecuador,ECU,2005,41507085000.0,3002.138604
12037,"Egypt, Arab Rep.",EGY,2005,89600665557.0,1186.393313
12038,Euro area,EMU,2005,10523500000000.0,31949.48392
12039,Eritrea,ERI,2005,1098425901.0,388.5959475
12040,Spain,ESP,2005,1153720000000.0,26429.15094
12041,Estonia,EST,2005,14106790200.0,10412.64431
12042,Ethiopia,ETH,2005,12401139454.0,162.4327286
12043,European Union,EUU,2005,11910800000000.0,27344.67445
12044,Fragile and conflict affected situations,FCS,2005,785432000000.0,1146.040866
12045,Finland,FIN,2005,204885000000.0,39054.85044
12046,Fiji,FJI,2005,2980484920.0,3627.632856
12047,France,FRA,2005,2196950000000.0,34773.15015
12048,Faroe Islands,FRO,2005,1754406443.0,36756.12167
12049,"Micronesia, Fed. Sts.",FSM,2005,250281900.0,2358.1467
12050,Gabon,GAB,2005,9582783318.0,6891.36192
12051,United Kingdom,GBR,2005,2544830000000.0,42132.09072
12052,Georgia,GEO,2005,6410823633.0,1642.760938
12053,Ghana,GHA,2005,10744675210.0,492.5440562
12054,Gibraltar,GIB,2005,,
12055,Guinea,GIN,2005,2937071767.0,322.41554
12056,"Gambia, The",GMB,2005,1027702254.0,665.7202157
12057,Guinea-Bissau,GNB,2005,587029054.4,436.4752202
12058,Equatorial Guinea,GNQ,2005,8217369093.0,10963.40638
12059,Greece,GRC,2005,247875000000.0,22560.14729
12060,Grenada,GRD,2005,695555555.6,6645.985549
12061,Greenland,GRL,2005,1849805733.0,32489.78191
12062,Guatemala,GTM,2005,26783543667.0,2068.500129
12063,Guam,GUM,2005,4213000000.0,26596.21479
12064,Guyana,GUY,2005,824880550.3,1105.506825
12065,High income,HIC,2005,37825500000000.0,33295.52822
12066,"Hong Kong SAR, China",HKG,2005,181570000000.0,26649.7508
12067,Honduras,HND,2005,9757034457.0,1308.09197
12068,Heavily indebted poor countries (HIPC),HPC,2005,276892000000.0,509.4086592
12069,Croatia,HRV,2005,45780237257.0,10621.50746
12070,Haiti,HTI,2005,7184064657.0,781.2766578
12071,Hungary,HUN,2005,113237000000.0,11225.93258
12072,IBRD only,IBD,2005,9634050000000.0,2288.208443
12073,IDA & IBRD total,IBT,2005,10518900000000.0,1938.86413
12074,IDA total,IDA,2005,885843000000.0,729.105958
12075,IDA blend,IDB,2005,373206000000.0,922.3709761
12076,Indonesia,IDN,2005,285869000000.0,1263.287332
12077,IDA only,IDX,2005,513237000000.0,633.3478377
12078,Isle of Man,IMN,2005,3032400000.0,37766.67954
12079,India,IND,2005,820382000000.0,714.8610154
12080,Not classified,INX,2005,,
12081,Ireland,IRL,2005,211877000000.0,50933.02161
