,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
5320,Aruba,ABW,1980,,
5321,Africa Eastern and Southern,AFE,1980,170654000000.0,750.769347
5322,Afghanistan,AFG,1980,3641723322.0,272.6555102
5323,Africa Western and Central,AFW,1980,112031000000.0,718.6917964
5324,Angola,AGO,1980,5930503401.0,710.9815629
5325,Albania,ALB,1980,,
5326,Andorra,AND,1980,446416105.8,12378.78451
5327,Arab World,ARB,1980,459811000000.0,2796.55226
5328,United Arab Emirates,ARE,1980,43598748449.0,42764.54056
5329,Argentina,ARG,1980,76961923741.0,2758.834816
5330,Armenia,ARM,1980,,
5331,American Samoa,ASM,1980,,
5332,Antigua and Barbuda,ATG,1980,131431026.7,2124.618526
5333,Australia,AUS,1980,150032000000.0,10211.83719
5334,Austria,AUT,1980,82058912997.0,10869.54649
5335,Azerbaijan,AZE,1980,,
5336,Burundi,BDI,1980,919726666.7,221.2319418
5337,Belgium,BEL,1980,126829000000.0,12864.00257
5338,Benin,BEN,1980,1405251547.0,378.0443051
5339,Burkina Faso,BFA,1980,1928719477.0,282.6858501
5340,Bangladesh,BGD,1980,18138049096.0,227.7519265
5341,Bulgaria,BGR,1980,19839230769.0,2238.802958
5342,Bahrain,BHR,1980,3072698328.0,8537.71587
5343,"Bahamas, The",BHS,1980,1335300000.0,6340.787031
5344,Bosnia and Herzegovina,BIH,1980,,
5345,Belarus,BLR,1980,,
5346,Belize,BLZ,1980,197938222.4,1373.216845
5347,Bermuda,BMU,1980,613299968.0,11218.21782
5348,Bolivia,BOL,1980,4537487803.0,813.1797668
5349,Brazil,BRA,1980,237393000000.0,1966.903626
5350,Barbados,BRB,1980,1012280615.0,4010.81119
5351,Brunei Darussalam,BRN,1980,4928824958.0,25422.03919
5352,Bhutan,BTN,1980,128717410.9,316.3499358
5353,Botswana,BWA,1980,1060923829.0,1181.61387
5354,Central African Republic,CAF,1980,797048028.8,362.4001488
5355,Canada,CAN,1980,273854000000.0,11170.56397
5356,Central Europe and the Baltics,CEB,1980,,
5357,Switzerland,CHE,1980,122661000000.0,19410.18935
5358,Channel Islands,CHI,1980,,
5359,Chile,CHL,1980,29036709872.0,2542.763806
5360,China,CHN,1980,191149000000.0,194.8047222
5361,Cote d'Ivoire,CIV,1980,10175615442.0,1266.623877
5362,Cameroon,CMR,1980,6674567625.0,774.1852434
5363,"Congo, Dem. Rep.",COD,1980,14394927495.0,546.1124995
5364,"Congo, Rep.",COG,1980,1705796850.0,959.4274975
5365,Colombia,COL,1980,33400735644.0,1241.639587
5366,Comoros,COM,1980,212218226.4,689.3984895
5367,Cabo Verde,CPV,1980,142246875.5,501.1374945
5368,Costa Rica,CRI,1980,4831447001.0,2021.548779
5369,Caribbean small states,CSS,1980,13495267730.0,2461.655884
5370,Cuba,CUB,1980,19912889861.0,2021.724635
5371,Curacao,CUW,1980,,
5372,Cayman Islands,CYM,1980,,
5373,Cyprus,CYP,1980,2154311277.0,4232.022949
5374,Czech Republic,CZE,1980,,
5375,Germany,DEU,1980,950291000000.0,12138.3081
5376,Djibouti,DJI,1980,,
5377,Dominica,DMA,1980,72804653.33,966.6301991
5378,Denmark,DNK,1980,71127528700.0,13883.88714
5379,Dominican Republic,DOM,1980,6761300000.0,1164.952225
5380,Algeria,DZA,1980,42346380831.0,2203.055461
5381,East Asia & Pacific (excluding high income),EAP,1980,378125000000.0,277.9413708
5382,Early-demographic dividend,EAR,1980,1332420000000.0,838.0514831
5383,East Asia & Pacific,EAS,1980,1815750000000.0,1164.521771
5384,Europe & Central Asia (excluding high income),ECA,1980,,
5385,Europe & Central Asia,ECS,1980,4600310000000.0,5798.958459
5386,Ecuador,ECU,1980,17881514683.0,2238.217084
5387,"Egypt, Arab Rep.",EGY,1980,21669908176.0,500.3550452
5388,Euro area,EMU,1980,2962180000000.0,9802.565412
5389,Eritrea,ERI,1980,,
5390,Spain,ESP,1980,232767000000.0,6208.578019
5391,Estonia,EST,1980,,
5392,Ethiopia,ETH,1980,,
5393,European Union,EUU,1980,3303180000000.0,8098.498471
5394,Fragile and conflict affected situations,FCS,1980,293700000000.0,764.8625299
5395,Finland,FIN,1980,53645202423.0,11223.93756
5396,Fiji,FJI,1980,1202567359.0,1892.876822
5397,France,FRA,1980,701288000000.0,12713.36517
5398,Faroe Islands,FRO,1980,,
5399,"Micronesia, Fed. Sts.",FSM,1980,,
5400,Gabon,GAB,1980,4279637934.0,5892.099285
5401,United Kingdom,GBR,1980,564948000000.0,10032.06208
5402,Georgia,GEO,1980,,
5403,Ghana,GHA,1980,4445228216.0,402.0607078
5404,Gibraltar,GIB,1980,,
5405,Guinea,GIN,1980,,
5406,"Gambia, The",GMB,1980,241080708.9,378.312989
5407,Guinea-Bissau,GNB,1980,110653830.7,141.5593514
5408,Equatorial Guinea,GNQ,1980,50642880.77,202.6274483
5409,Greece,GRC,1980,56829664269.0,5893.661893
5410,Grenada,GRD,1980,110900457.0,1245.624686
5411,Greenland,GRL,1980,476055288.4,9483.173076
5412,Guatemala,GTM,1980,7878700000.0,1143.440402
5413,Guam,GUM,1980,,
5414,Guyana,GUY,1980,603200000.0,773.1816708
5415,High income,HIC,1980,8959660000000.0,9369.588549
5416,"Hong Kong SAR, China",HKG,1980,28861759209.0,5700.412634
5417,Honduras,HND,1980,3968160046.0,1078.810346
5418,Heavily indebted poor countries (HIPC),HPC,1980,110547000000.0,408.4206519
5419,Croatia,HRV,1980,,
5420,Haiti,HTI,1980,1383800000.0,245.2165669
5421,Hungary,HUN,1980,,
5422,IBRD only,IBD,1980,2350860000000.0,811.9664094
5423,IDA & IBRD total,IBT,1980,2624920000000.0,743.7489344
5424,IDA total,IDA,1980,271387000000.0,428.0242307
5425,IDA blend,IDB,1980,126263000000.0,609.7455089
5426,Indonesia,IDN,1980,72482337371.0,491.5795329
5427,IDA only,IDX,1980,146006000000.0,341.9595033
5428,Isle of Man,IMN,1980,,
5429,India,IND,1980,186325000000.0,266.5778508
5430,Not classified,INX,1980,,
5431,Ireland,IRL,1980,21747855640.0,6372.437775
5432,"Iran, Islamic Rep.",IRN,1980,94362275580.0,2441.440618
5433,Iraq,IRQ,1980,52569000000.0,3850.264419
5434,Iceland,ISL,1980,3381419251.0,14821.81509
5435,Israel,ISR,1980,,
5436,Italy,ITA,1980,477257000000.0,8456.918974
5437,Jamaica,JAM,1980,2679409453.0,1238.839069
5438,Jordan,JOR,1980,3910036925.0,1644.256458
5439,Japan,JPN,1980,1105390000000.0,9463.353855
5440,Kazakhstan,KAZ,1980,,
5441,Kenya,KEN,1980,7265315332.0,442.5428212
5442,Kyrgyz Republic,KGZ,1980,,
5443,Cambodia,KHM,1980,,
5444,Kiribati,KIR,1980,38715554.54,652.9201724
5445,St. Kitts and Nevis,KNA,1980,68459259.26,1584.668393
5446,"Korea, Rep.",KOR,1980,65398646758.0,1715.42946
5447,Kuwait,KWT,1980,28638550499.0,20924.21201
5448,Latin America & Caribbean (excluding high income),LAC,1980,653102000000.0,2018.911368
5449,Lao PDR,LAO,1980,,
5450,Lebanon,LBN,1980,,
5451,Liberia,LBR,1980,,
5452,Libya,LBY,1980,,
5453,St. Lucia,LCA,1980,170370370.4,1445.924317
5454,Latin America & Caribbean,LCN,1980,782817000000.0,2173.2141
5455,Least developed countries: UN classification,LDC,1980,113592000000.0,290.8918017
5456,Low income,LIC,1980,84179626093.0,363.9461264
5457,Liechtenstein,LIE,1980,534701915.6,20660.0176
5458,Sri Lanka,LKA,1980,4024621900.0,267.6685772
5459,Lower middle income,LMC,1980,710907000000.0,449.7768991
5460,Low & middle income,LMY,1980,2442630000000.0,705.6506686
5461,Lesotho,LSO,1980,431561376.5,321.9987319
5462,Late-demographic dividend,LTE,1980,1332880000000.0,835.4120067
5463,Lithuania,LTU,1980,,
5464,Luxembourg,LUX,1980,6019805490.0,16531.1149
5465,Latvia,LVA,1980,,
5466,"Macao SAR, China",MAC,1980,,
5467,St. Martin (French part),MAF,1980,,
5468,Morocco,MAR,1980,21728770055.0,1078.839966
5469,Monaco,MCO,1980,1378130996.0,51515.06413
5470,Moldova,MDA,1980,,
5471,Madagascar,MDG,1980,5201818349.0,596.7749793
5472,Maldives,MDV,1980,42463576.16,268.2966315
5473,Middle East & North Africa,MEA,1980,594417000000.0,3219.527984
5474,Mexico,MEX,1980,205139000000.0,3027.375274
5475,Marshall Islands,MHL,1980,,
5476,Middle income,MIC,1980,2359820000000.0,730.5409741
5477,North Macedonia,MKD,1980,,
5478,Mali,MLI,1980,1759691183.0,248.1890561
5479,Malta,MLT,1980,1250242108.0,3948.403126
5480,Myanmar,MMR,1980,1010596805.0,29.52861952
5481,Middle East & North Africa (excluding high income),MNA,1980,273629000000.0,1642.26703
5482,Montenegro,MNE,1980,,
5483,Mongolia,MNG,1980,,
5484,Northern Mariana Islands,MNP,1980,,
5485,Mozambique,MOZ,1980,,
5486,Mauritania,MRT,1980,1047924649.0,680.1861099
5487,Mauritius,MUS,1980,1131788192.0,1171.576087
5488,Malawi,MWI,1980,1237655461.0,198.0111239
5489,Malaysia,MYS,1980,24488033442.0,1774.740297
5490,North America,NAC,1980,3131770000000.0,12437.7765
5491,Namibia,NAM,1980,2422096075.0,2289.915294
5492,New Caledonia,NCL,1980,1182463959.0,8443.155721
5493,Niger,NER,1980,2508524186.0,418.8552657
5494,Nigeria,NGA,1980,64201788123.0,874.402071
5495,Nicaragua,NIC,1980,2189347368.0,670.4437172
5496,Netherlands,NLD,1980,195152000000.0,13791.86226
5497,Norway,NOR,1980,64439382896.0,15772.24091
5498,Nepal,NPL,1980,1945916583.0,129.5860224
5499,Nauru,NRU,1980,,
5500,New Zealand,NZL,1980,23244547385.0,7467.168038
5501,OECD members,OED,1980,8841800000000.0,8677.330955
5502,Oman,OMN,1980,5981760278.0,5181.826219
5503,Other small states,OSS,1980,37417416944.0,2751.574631
5504,Pakistan,PAK,1980,23654444444.0,303.0509594
5505,Panama,PAN,1980,4614086400.0,2332.126385
5506,Peru,PER,1980,18127754429.0,1033.061047
5507,Philippines,PHL,1980,36848242784.0,778.0827803
5508,Palau,PLW,1980,,
5509,Papua New Guinea,PNG,1980,2545983008.0,712.9190725
5510,Poland,POL,1980,,
5511,Pre-demographic dividend,PRE,1980,222843000000.0,701.949929
5512,Puerto Rico,PRI,1980,14436100000.0,4502.838428
5513,"Korea, Dem. People's Rep.",PRK,1980,,
5514,Portugal,PRT,1980,32896519824.0,3368.366669
5515,Paraguay,PRY,1980,4448087302.0,1398.054298
5516,West Bank and Gaza,PSE,1980,,
5517,Pacific island small states,PSS,1980,1962008426.0,1381.390612
5518,Post-demographic dividend,PST,1980,8541450000000.0,9387.334752
5519,French Polynesia,PYF,1980,1362159376.0,8885.695675
5520,Qatar,QAT,1980,7829094613.0,35010.39528
5521,Romania,ROU,1980,,
5522,Russian Federation,RUS,1980,,
5523,Rwanda,RWA,1980,1254765350.0,243.4870745
5524,South Asia,SAS,1980,236032000000.0,262.0772529
5525,Saudi Arabia,SAU,1980,164542000000.0,16977.98593
5526,Sudan,SDN,1980,8951800000.0,470.8978271
5527,Senegal,SEN,1980,4510107330.0,807.8059295
5528,Singapore,SGP,1980,11896256783.0,4928.139118
5529,Solomon Islands,SLB,1980,182852054.2,793.1123582
5530,Sierra Leone,SLE,1980,1100685845.0,324.8303951
5531,El Salvador,SLV,1980,3573959900.0,778.448009
5532,San Marino,SMR,1980,,
5533,Somalia,SOM,1980,603592656.8,96.0960668
5534,Serbia,SRB,1980,,
5535,Sub-Saharan Africa (excluding high income),SSA,1980,280901000000.0,733.1833125
5536,South Sudan,SSD,1980,,
5537,Sub-Saharan Africa,SSF,1980,281044000000.0,733.4352173
5538,Small states,SST,1980,52919334155.0,2581.29847
5539,Sao Tome and Principe,STP,1980,,
5540,Suriname,SUR,1980,795000000.0,2211.214054
5541,Slovak Republic,SVK,1980,,
5542,Slovenia,SVN,1980,,
5543,Sweden,SWE,1980,142092000000.0,17097.83265
5544,Eswatini,SWZ,1980,542000513.6,922.0016494
5545,Sint Maarten (Dutch part),SXM,1980,,
5546,Seychelles,SYC,1980,147357222.8,2329.353358
5547,Syrian Arab Republic,SYR,1980,13062420382.0,1462.629942
5548,Turks and Caicos Islands,TCA,1980,,
5549,Chad,TCD,1980,1033002402.0,228.8224844
5550,East Asia & Pacific (IDA & IBRD countries),TEA,1980,377558000000.0,281.1404415
5551,Europe & Central Asia (IDA & IBRD countries),TEC,1980,,
5552,Togo,TGO,1980,1136408814.0,417.6691399
5553,Thailand,THA,1980,32353440727.0,682.9299728
5554,Tajikistan,TJK,1980,,
5555,Turkmenistan,TKM,1980,,
5556,Latin America & the Caribbean (IDA & IBRD countries),TLA,1980,742555000000.0,2144.078527
5557,Timor-Leste,TLS,1980,,
5558,Middle East & North Africa (IDA & IBRD countries),TMN,1980,271186000000.0,1627.608308
5559,Tonga,TON,1980,53260077.43,572.8984514
5560,South Asia (IDA & IBRD),TSA,1980,236032000000.0,262.0772529
5561,Sub-Saharan Africa (IDA & IBRD countries),TSS,1980,281044000000.0,733.4352173
5562,Trinidad and Tobago,TTO,1980,6235833333.0,5748.673495
5563,Tunisia,TUN,1980,8744134354.0,1371.835501
5564,Turkiye,TUR,1980,68823684211.0,1565.029289
5565,Tuvalu,TUV,1980,,
5566,Tanzania,TZA,1980,,
5567,Uganda,UGA,1980,1244610000.0,100.0302757
5568,Ukraine,UKR,1980,,
5569,Upper middle income,UMC,1980,1658120000000.0,1005.130291
5570,Uruguay,URY,1980,10163020116.0,3485.991103
5571,United States,USA,1980,2857310000000.0,12574.79151
5572,Uzbekistan,UZB,1980,,
5573,St. Vincent and the Grenadines,VCT,1980,82340339.63,818.7691628
5574,"Venezuela, RB",VEN,1980,59116511628.0,3893.697346
5575,British Virgin Islands,VGB,1980,,
5576,Virgin Islands (U.S.),VIR,1980,,
5577,Vietnam,VNM,1980,,
5578,Vanuatu,VUT,1980,121185497.6,1048.33559
5579,World,WLD,1980,11334900000000.0,2556.95492
5580,Samoa,WSM,1980,,
5581,Kosovo,XKX,1980,,
5582,"Yemen, Rep.",YEM,1980,,
5583,South Africa,ZAF,1980,89411894561.0,3131.022571
5584,Zambia,ZMB,1980,3829500000.0,654.4120135
5585,Zimbabwe,ZWE,1980,6678868200.0,901.4984147
