,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
3990,Aruba,ABW,1975,,
3991,Africa Eastern and Southern,AFE,1975,91649152687.0,466.6217712
3992,Afghanistan,AFG,1975,2366666616.0,186.5108383
3993,Africa Western and Central,AFW,1975,51444731784.0,377.7880069
3994,Angola,AGO,1975,,
3995,Albania,ALB,1975,,
3996,Andorra,AND,1975,220127246.4,7169.101006
3997,Arab World,ARB,1975,157910000000.0,1127.600549
3998,United Arab Emirates,ARE,1975,14720672507.0,26848.08818
3999,Argentina,ARG,1975,52438647922.0,2027.337202
4000,Armenia,ARM,1975,,
4001,American Samoa,ASM,1975,,
4002,Antigua and Barbuda,ATG,1975,,
4003,Australia,AUS,1975,97333060221.0,7005.906588
4004,Austria,AUT,1975,40059206763.0,5285.620724
4005,Azerbaijan,AZE,1975,,
4006,Burundi,BDI,1975,420986666.7,113.7531561
4007,Belgium,BEL,1975,65678189097.0,6701.377361
4008,Benin,BEN,1975,676870140.3,207.3003128
4009,Burkina Faso,BFA,1975,939972703.5,152.7279968
4010,Bangladesh,BGD,1975,19448348073.0,277.5706052
4011,Bulgaria,BGR,1975,,
4012,Bahrain,BHR,1975,,
4013,"Bahamas, The",BHS,1975,596200000.0,3156.250827
4014,Bosnia and Herzegovina,BIH,1975,,
4015,Belarus,BLR,1975,,
4016,Belize,BLZ,1975,118066298.3,885.9579357
4017,Bermuda,BMU,1975,345000000.0,6509.433962
4018,Bolivia,BOL,1975,2404697651.0,480.8036551
4019,Brazil,BRA,1975,129204000000.0,1205.074834
4020,Barbados,BRB,1975,402178605.0,1633.823012
4021,Brunei Darussalam,BRN,1975,1168304306.0,7228.040373
4022,Bhutan,BTN,1975,,
4023,Botswana,BWA,1975,355172413.8,479.0912931
4024,Central African Republic,CAF,1975,378660016.3,193.3549821
4025,Canada,CAN,1975,173834000000.0,7511.211343
4026,Central Europe and the Baltics,CEB,1975,,
4027,Switzerland,CHE,1975,,
4028,Channel Islands,CHI,1975,,
4029,Chile,CHL,1975,7622217352.0,719.5991575
4030,China,CHN,1975,163432000000.0,178.3418196
4031,Cote d'Ivoire,CIV,1975,3893839190.0,607.2350017
4032,Cameroon,CMR,1975,2857037371.0,383.4405469
4033,"Congo, Dem. Rep.",COD,1975,10237343174.0,446.9755403
4034,"Congo, Rep.",COG,1975,767102679.0,499.2019558
4035,Colombia,COL,1975,13098633902.0,544.2909066
4036,Comoros,COM,1975,,
4037,Cabo Verde,CPV,1975,,
4038,Costa Rica,CRI,1975,1960863466.0,936.3368228
4039,Caribbean small states,CSS,1975,7706760555.0,1485.161329
