,Country Name,Country Code,year,GDP_USD,GDP_per_capita_USD
6916,Aruba,ABW,1986,405586592.2,6474.364948
6917,Africa Eastern and Southern,AFE,1986,152518000000.0,562.6941823
6918,Afghanistan,AFG,1986,,
6919,Africa Western and Central,AFW,1986,107498000000.0,584.9072796
6920,Angola,AGO,1986,7072063346.0,685.2697533
6921,Albania,ALB,1986,2097326250.0,693.8734746
6922,Andorra,AND,1986,482000594.0,10361.14777
6923,Arab World,ARB,1986,406986000000.0,2062.378137
6924,United Arab Emirates,ARE,1986,33943612095.0,23467.87932
6925,Argentina,ARG,1986,110934000000.0,3613.621709
6926,Armenia,ARM,1986,,
6927,American Samoa,ASM,1986,,
6928,Antigua and Barbuda,ATG,1986,290440140.7,4703.179401
6929,Australia,AUS,1986,182368000000.0,11384.93824
6930,Austria,AUT,1986,99036164939.0,13083.07266
6931,Azerbaijan,AZE,1986,,
6932,Burundi,BDI,1986,1201725497.0,245.9153275
6933,Belgium,BEL,1986,120019000000.0,12170.0407
6934,Benin,BEN,1986,1336102041.0,303.3490356
6935,Burkina Faso,BFA,1986,2036303381.0,256.7624807
6936,Bangladesh,BGD,1986,21774033333.0,233.6580722
6937,Bulgaria,BGR,1986,20249294118.0,2260.427281
6938,Bahrain,BHR,1986,3052393617.0,7041.634447
6939,"Bahamas, The",BHS,1986,2472500000.0,10344.32265
6940,Bosnia and Herzegovina,BIH,1986,,
6941,Belarus,BLR,1986,,
6942,Belize,BLZ,1986,231638320.5,1366.041674
6943,Bermuda,BMU,1986,1173500032.0,20450.66453
6944,Bolivia,BOL,1986,3959379400.0,627.5635511
6945,Brazil,BRA,1986,215879000000.0,1563.104249
6946,Barbados,BRB,1986,1547755183.0,6019.653244
6947,Brunei Darussalam,BRN,1986,2358592817.0,10214.02849
6948,Bhutan,BTN,1986,191230747.1,399.4935001
6949,Botswana,BWA,1986,1392634772.0,1253.555317
6950,Central African Republic,CAF,1986,1122265026.0,432.0117587
6951,Canada,CAN,1986,377438000000.0,14461.06924
6952,Central Europe and the Baltics,CEB,1986,,
6953,Switzerland,CHE,1986,159224000000.0,24480.42256
6954,Channel Islands,CHI,1986,,
6955,Chile,CHL,1986,18891048819.0,1517.861345
6956,China,CHN,1986,300758000000.0,281.9281209
6957,Cote d'Ivoire,CIV,1986,9158302205.0,888.5285805
6958,Cameroon,CMR,1986,11857056336.0,1140.597182
6959,"Congo, Dem. Rep.",COD,1986,8095367168.0,263.8313003
6960,"Congo, Rep.",COG,1986,1849268215.0,875.4516702
6961,Colombia,COL,1986,34942489684.0,1142.939363
6962,Comoros,COM,1986,279197696.8,763.3253505
6963,Cabo Verde,CPV,1986,190651208.0,602.1584963
6964,Costa Rica,CRI,1986,4418983871.0,1572.455025
6965,Caribbean small states,CSS,1986,14441278728.0,2466.299099
6966,Cuba,CUB,1986,24226574634.0,2378.910723
6967,Curacao,CUW,1986,,
6968,Cayman Islands,CYM,1986,,
6969,Cyprus,CYP,1986,3090734463.0,5642.631348
6970,Czech Republic,CZE,1986,,
6971,Germany,DEU,1986,1046260000000.0,13461.831
6972,Djibouti,DJI,1986,,
6973,Dominica,DMA,1986,135161958.5,1863.506067
6974,Denmark,DNK,1986,88078760104.0,17201.08881
6975,Dominican Republic,DOM,1986,6122198120.0,928.0322488
6976,Algeria,DZA,1986,63692238160.0,2756.954981
6977,East Asia & Pacific (excluding high income),EAP,1986,525159000000.0,350.0305445
6978,Early-demographic dividend,EAR,1986,1467330000000.0,794.2157155
6979,East Asia & Pacific,EAS,1986,3082070000000.0,1801.349042
6980,Europe & Central Asia (excluding high income),ECA,1986,,
6981,Europe & Central Asia,ECS,1986,5196400000000.0,6318.042646
6982,Ecuador,ECU,1986,15314143988.0,1648.01456
6983,"Egypt, Arab Rep.",EGY,1986,41253507951.0,815.2486949
6984,Euro area,EMU,1986,3362910000000.0,10966.93114
6985,Eritrea,ERI,1986,,
6986,Spain,ESP,1986,251321000000.0,6513.503286
6987,Estonia,EST,1986,,
6988,Ethiopia,ETH,1986,9848600870.0,234.6821764
6989,European Union,EUU,1986,3744040000000.0,9020.128035
6990,Fragile and conflict affected situations,FCS,1986,298870000000.0,682.2023802
6991,Finland,FIN,1986,73531550551.0,14951.04679
6992,Fiji,FJI,1986,1290228617.0,1795.370458
6993,France,FRA,1986,771471000000.0,13540.24637
6994,Faroe Islands,FRO,1986,,
6995,"Micronesia, Fed. Sts.",FSM,1986,112210000.0,1276.506189
6996,Gabon,GAB,1986,3403638194.0,4004.035275
6997,United Kingdom,GBR,1986,601453000000.0,10611.11221
6998,Georgia,GEO,1986,,
6999,Ghana,GHA,1986,5727602645.0,435.0681877
7000,Gibraltar,GIB,1986,,
7001,Guinea,GIN,1986,1995186721.0,354.421365
7002,"Gambia, The",GMB,1986,185646209.4,234.6562868
7003,Guinea-Bissau,GNB,1986,130225018.8,145.9054808
